"","Value","Std.Error","DF","t-value","p-value","Taxa","Group","FDR"
"DaysLinear14",-0.0673669641458242,0.0132083105126152,24,-5.10034679162656,3.22420873254506e-05,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__RF39","DaysLinear",0.00138640975499438
"DaysLinear18",-0.0276449151354627,0.00710292147054974,71,-3.89204853947555,0.000221924062636291,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia_UCG-014","DaysLinear",0.00477136734668025
"DaysLinear24",-0.00778411652727275,0.00315166419856027,163,-2.46984324371507,0.0145474507892092,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales","DaysLinear",0.156385095983998
"DaysLinear37",0.0217484582687037,0.00857179747581958,161,2.53721093271914,0.0121245500448901,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales","DaysLinear",0.156385095983998
"DaysLinear5",0.0053722252805729,0.00361772702264061,161,1.48497253854484,0.139506423013507,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales","DaysLinear",0.538103411258558
"DaysLinear6",-0.00810798835814274,0.00494962384206285,159,-1.63810192791612,0.103377864980487,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales","DaysLinear",0.538103411258558
"DaysLinear9",-0.0148250146268565,0.00966893095644435,44,-1.53326305603368,0.132370634237747,"d__Bacteria;  p__Cyanobacteria;  c__Vampirivibrionia;  o__Gastranaerophilales","DaysLinear",0.538103411258558
"DaysLinear13",0.0094178879440408,0.00563855112508016,163,1.67026736747145,0.096785614487944,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales","DaysLinear",0.538103411258558
"DaysLinear19",0.0132424939591024,0.00844220048194199,59,1.56860690378395,0.12208768722393,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia_vadinBB60_group","DaysLinear",0.538103411258558
"DaysLinear34",-0.0100836276404084,0.00691161501190075,56,-1.45893942632018,0.150168393839598,"d__Bacteria;  p__Patescibacteria;  c__Saccharimonadia;  o__Saccharimonadales","DaysLinear",0.538103411258558
"DaysLinear35",-0.0301305760537273,0.0162290344632963,37,-1.85658463674292,0.0713462661962127,"d__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhodospirillales","DaysLinear",0.538103411258558
"DaysLinear36",-0.00898538603562945,0.00595174602102993,129,-1.50970589199882,0.133564001879125,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales","DaysLinear",0.538103411258558
"DaysLinear15",0.00815198170718759,0.00637652982375315,96,1.27843543941733,0.204178132493336,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Staphylococcales","DaysLinear",0.615002668642491
"DaysLinear27",0.0130824583769963,0.00995615096360173,22,1.31400763455917,0.202380889405871,"d__Bacteria;  p__Firmicutes;  c__Clostridia; NA","DaysLinear",0.615002668642491
"DaysLinear29",-0.0089346548036636,0.00714058070279586,79,-1.25125044804343,0.214535814642729,"d__Bacteria;  p__Firmicutes;  c__Negativicutes;  o__Acidaminococcales","DaysLinear",0.615002668642491
"DaysLinear2",0.00598521654732909,0.00531039403722196,163,1.12707578860949,0.261366882947035,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales","DaysLinear",0.618246023383404
"DaysLinear4",0.00705347457169686,0.00586613406455127,108,1.20240596175949,0.231835902415684,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales","DaysLinear",0.618246023383404
"DaysLinear16",-0.00691801433820306,0.00621887755093526,129,-1.11242170014469,0.268025639636763,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Christensenellales","DaysLinear",0.618246023383404
"DaysLinear25",-0.00958009151080583,0.00865201256349134,53,-1.10726740634089,0.273178475448481,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptococcales","DaysLinear",0.618246023383404
"DaysLinear32",-0.00741660999598769,0.00710306789226105,16,-1.04414178612431,0.311939624699134,"d__Bacteria;  p__Firmicutes; NA; NA","DaysLinear",0.670670193103137
"DaysLinear",-0.0103086256592189,0.0109841538570058,59,-0.938499750952047,0.351813887510301,"d__Archaea;  p__Euryarchaeota;  c__Methanobacteria;  o__Methanobacteriales","DaysLinear",0.687636234679225
"DaysLinear41",0.00797686429366765,0.00845283710244424,41,0.943690762875466,0.350855741001745,"d__Bacteria;  p__Verrucomicrobiota;  c__Lentisphaeria;  o__Victivallales","DaysLinear",0.687636234679225
"DaysLinear10",-0.00449653762121833,0.0051966298692668,112,-0.865279562781859,0.388734989422391,"d__Bacteria;  p__Desulfobacterota;  c__Desulfovibrionia;  o__Desulfovibrionales","DaysLinear",0.696483522715116
"DaysLinear11",-0.00284876093856267,0.00325293469570422,163,-0.875751038692753,0.382454091228814,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales","DaysLinear",0.696483522715116
"DaysLinear31",-0.00558216899763183,0.00674213219723377,24,-0.827953062077623,0.415854665702655,"d__Bacteria;  p__Firmicutes;  c__uncultured;  o__uncultured","DaysLinear",0.705096044398418
"DaysLinear40",0.0066190553994631,0.00807880627174725,14,0.819311068593251,0.426337143124625,"d__Bacteria;  p__Synergistota;  c__Synergistia;  o__Synergistales","DaysLinear",0.705096044398418
"DaysLinear23",-0.00440467087506463,0.00576655580548173,136,-0.763830442927044,0.446291406620359,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Monoglobales","DaysLinear",0.710760388321313
"DaysLinear7",-0.0062769415465955,0.00880407484976849,15,-0.712958675806869,0.486815547956778,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Flavobacteriales","DaysLinear",0.72621429584019
"DaysLinear8",-0.00532743780767621,0.00767275899436405,70,-0.694331440827143,0.489772432078268,"d__Bacteria;  p__Cyanobacteria;  c__Cyanobacteriia;  o__Chloroplast","DaysLinear",0.72621429584019
"DaysLinear21",0.00366469900939436,0.00604554012120773,94,0.606182232839479,0.545854841293695,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Eubacteriales","DaysLinear",0.765185080809058
"DaysLinear33",-0.0123786700006045,0.020459773743109,21,-0.605024774761928,0.551645058257693,"d__Bacteria;  p__Fusobacteriota;  c__Fusobacteriia;  o__Fusobacteriales","DaysLinear",0.765185080809058
"DaysLinear1",0.00287321387213929,0.00577872695537493,151,0.497205335072432,0.619767448117667,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales","DaysLinear",0.788493335445613
"DaysLinear3",0.00328315750642439,0.00618971181111645,52,0.530421707280132,0.59807755954301,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales","DaysLinear",0.788493335445613
"DaysLinear12",0.00635831923384338,0.013424968031959,17,0.473618947822223,0.641796900944103,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Izemoplasmatales","DaysLinear",0.788493335445613
"DaysLinear42",-0.00505161117424136,0.0105710586058968,113,-0.477871835033006,0.633664560201279,"d__Bacteria;  p__Verrucomicrobiota;  c__Verrucomicrobiae;  o__Verrucomicrobiales","DaysLinear",0.788493335445613
"DaysLinear17",0.00414802262327453,0.00993861055364795,25,0.417364439514334,0.679974414809157,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridia","DaysLinear",0.790240536129561
"DaysLinear22",0.0010985203795194,0.00262424368765755,163,0.418604562025242,0.676056192558897,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales","DaysLinear",0.790240536129561
"DaysLinear20",0.00327511279851184,0.00900353218908882,157,0.363758659349369,0.716527612127244,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales","DaysLinear",0.810807561091355
"DaysLinear30",0.00202400798594996,0.00609558749399513,156,0.332044776314645,0.740301157042638,"d__Bacteria;  p__Firmicutes;  c__Negativicutes;  o__Veillonellales-Selenomonadales","DaysLinear",0.816229480841883
"DaysLinear26",-0.00119364299655238,0.00567592489312504,163,-0.210299293776452,0.83369673481793,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales","DaysLinear",0.896223989929275
"DaysLinear28",-0.00149545108848308,0.00830660431757744,30,-0.180031578646233,0.858338357298845,"d__Bacteria;  p__Firmicutes;  c__Incertae_Sedis;  o__DTU014","DaysLinear",0.900208521069521
"DaysLinear38",0.000950142992152497,0.00863609312934024,126,0.110020003017856,0.912568551856809,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pasteurellales","DaysLinear",0.934296374520066
"DaysLinear39",-0.000816046133539328,0.010476333783937,16,-0.0778942472022555,0.938877991701941,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales","DaysLinear",0.938877991701941
