"","Value","Std.Error","DF","t-value","p-value","Taxa","Group","FDR"
"DaysLinear92",-0.0218370926986473,0.00485818232167256,145,-4.49491008215791,1.41362875207281e-05,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae;  g__[Clostridium]_innocuum_group; NA","DaysLinear",0.00610687620895453
"DaysLinear106",-0.0332505868219386,0.0085814570732211,34,-3.87470175964626,0.00046303722812563,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae;  g__uncultured;  s__Clostridiales_bacterium","DaysLinear",0.0535264269846073
"DaysLinear196",-0.0274741604523869,0.00703587963416078,30,-3.90486504615481,0.00049561506467229,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Catenibacillus;  s__uncultured_bacterium","DaysLinear",0.0535264269846073
"DaysLinear291",-0.0222181368124551,0.0059217750348068,136,-3.7519386808621,0.000258916599038475,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospiraceae;  g__Colidextribacter; NA","DaysLinear",0.0535264269846073
"DaysLinear120",0.0438630699060805,0.0117926796846102,38,3.71951677474315,0.000642756609365139,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Leuconostocaceae;  g__Weissella; NA","DaysLinear",0.055534171049148
"DaysLinear89",-0.018065176169716,0.00557248090639432,129,-3.24185519397411,0.00151144977217261,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelatoclostridiaceae;  g__Erysipelatoclostridium; NA","DaysLinear",0.0593587546889606
"DaysLinear112",0.064763523452511,0.0184998078199316,50,3.50076736379581,0.000985807425606223,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Lactobacillus;  s__Lactobacillus_fermentum","DaysLinear",0.0593587546889606
"DaysLinear204",0.013288564747439,0.00408187114973446,115,3.25550813829668,0.00148722195762304,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Dorea;  s__uncultured_bacterium","DaysLinear",0.0593587546889606
"DaysLinear222",0.0214999067363209,0.00632700189358381,61,3.39811921948749,0.00120014927314721,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnoclostridium;  s__human_gut","DaysLinear",0.0593587546889606
"DaysLinear259",0.0380138025830569,0.00904278501163848,13,4.20377157414794,0.0010322798033098,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Sellimonas;  s__uncultured_organism","DaysLinear",0.0593587546889606
"DaysLinear334",-0.0167739917375435,0.00503743191539637,94,-3.32986966757318,0.0012423639638912,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Ruminococcaceae;  g__DTU089; NA","DaysLinear",0.0593587546889606
