"","GO-Pt20-C1D3","GO-Pt6-C3D1","GO-Pt6-C1D3","GO-Pt15-C1D3","GO-Pt20-C3D1","GO-Pt18-C3D1","GO-Pt20-Baseline","GO-Pt14-Baseline","GO-Pt14-C1D3","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt11-Baseline","GO-Pt14-C2D1","GO-Pt17-C2D1","GO-Pt13-Baseline","GO-Pt13-C2D1","GO-Pt11-C1D7","GO-Pt21-Baseline","GO-Pt4-C3D1","GO-Pt6-C2D1","GO-Pt4-C1D3","GO-Pt2-C2D1","GO-Pt18-C1D7","GO-Pt7-Baseline","GO-Pt1-C1D1","GO-Pt19-Baseline","GO-Pt2-Baseline","GO-Pt12-C2D1","GO-Pt20-C1D1","GO-Pt11-C1D3","GO-Pt11-C2D1","GO-Pt18-C2D1","GO-Pt7-C1D3","GO-Pt9c-C2D1","GO-Pt17-Baseline","GO-Pt7-C2D1","GO-Pt12-C1D3","GO-Pt2-C1D7","GO-Pt13-C1D7","GO-Pt9c-Baseline","GO-Pt12-Baseline","GO-Pt4-C1D1","GO-Pt2-C1D3","GO-Pt1-C1D7","GO-Pt17-C1D7","GO-Pt7-C1D1","GO-Pt15-C1D1","GO-Pt12-C3D1","GO-Pt1-C2D1","GO-Pt9c-C1D1","GO-Pt15-Baseline","GO-Pt20-C1D7","GO-Pt1-Baseline","GO-Pt21-C1D7","GO-Pt6-C1D1","GO-Pt13-C3D1","GO-Pt15-C2D1","GO-Pt13-C1D3","GO-Pt14-C3D1","GO-Pt15-C1D7","GO-Pt4-Baseline","GO-Pt19-C2D1","GO-Pt21-C1D1","GO-Pt14-C1D1","GO-Pt13-C1D1","GO-Pt20-C2D1","GO-Pt19-C1D7","GO-Pt7-C1D7","GO-Pt21-C1D3","GO-Pt2-C3D1","GO-Pt12-C1D1","GO-Pt19-C1D3","GO-Pt17-C1D1","GO-Pt19-C3D1","GO-Pt4-C2D1","GO-Pt6-C1D7","GO-Pt18-C1D3","GO-Pt12-C1D7","GO-Pt2-C1D1","GO-Pt1-C1D3","GO-Pt35-C2D1","GO-Pt34-C1D1","GO-Pt50-C1D7","GO-Pt38-Baseline","GO-Pt42-C2D1","GO-Pt23-C1D7","GO-Pt23-C1D3","GO-Pt33-C1D1","GO-Pt30-C1D3","GO-Pt32-C2D1","GO-Pt32-Baseline","GO-Pt35-C1D3","GO-Pt43-C1D1","GO-Pt25-C1D1","GO-Pt34-C1D3","GO-Pt22-C1D7","GO-Pt45-C1D7","GO-Pt32-C1D1","GO-Pt42-Final","GO-Pt29-C1D1","GO-Pt30-Baseline","GO-Pt42-C1D3","GO-Pt45-C1D3","GO-Pt43-C2D1","GO-Pt31-C1D1","GO-Pt14-Final","GO-Pt35-C1D7","GO-Pt44-C1D3","GO-Pt42-C1D1","GO-Pt38-C1D3","GO-Pt17-C3D1","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt25-Baseline","GO-Pt25-C3D1","GO-Pt29-C2D1","GO-Pt33-Final","GO-Pt31-C1D3","GO-Pt47-C1D3","GO-Pt43-C1D3","GO-Pt22-C2D1","GO-Pt45-C3D1","GO-Pt42-Baseline","GO-Pt23-C2D1","GO-Pt33-C2D1","GO-Pt38-Final","GO-Pt50-C1D1","GO-Pt31-C3D1","GO-Pt34-Baseline","GO-Pt17-Final","GO-Pt50-C3D1","GO-Pt39-Baseline","GO-Pt32-C1D3","GO-Pt35-C1D1","GO-Pt31-Baseline","GO-Pt24-Baseline","GO-Pt23-Baseline","GO-Pt47-Baseline","GO-Pt45-Final","GO-Pt35-C3D1","GO-Pt40-Baseline","GO-Pt30-C3D1","GO-Pt32-C1D7","GO-Pt29-C1D3","GO-Pt45-C2D1","GO-Pt45-C1D1","GO-Pt9c-C1D3","GO-Pt16-Baseline","GO-Pt35-Final","GO-Pt25-C1D3","GO-Pt50-C1D3","GO-Pt9b-C2D1","GO-Pt22-C1D3","GO-Pt23-C3D1","GO-Pt38-C1D7","GO-Pt25-Final","GO-Pt31-Final","GO-Pt23-C1D1","GO-Pt9b-C1D1","GO-Pt24-C1D1","GO-Pt38-C2D1","GO-Pt35-Baseline","GO-Pt42-C3D1","GO-Pt50-C2D1","GO-Pt30-C1D1","GO-Pt9b-C3D1","GO-Pt33-C1D3","GO-Pt43-Baseline","GO-Pt25-C2D1","GO-Pt47-C1D1","GO-Pt50-Final","GO-Pt42-C1D7","GO-Pt38-C3D1","GO-Pt40-C1D3","GO-Pt47-C2D1","GO-Pt29-Baseline","GO-Pt22-Baseline","GO-Pt43-C1D7","GO-Pt16-C1D1","GO-Pt44-C2D1","GO-Pt22-C1D1","GO-Pt29-C3D1","GO-Pt38-C1D1","GO-Pt31-C2D1","GO-Pt47-C1D7","GO-Pt9b-Baseline","GO-Pt33-C1D7","GO-Pt45-Baseline","GO-Pt31-C1D7","GO-Pt43-C3D1","GO-Pt33-Baseline","GO-Pt50-Baseline","GO-Pt9b-C1D3","GO-Pt43-Final","GO-Pt40-C1D7","GO-Pt44-C1D7","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt1-C3D1","GO-Pt1-Final"
"c6c3ab4e828fb40d6e05967b7aac9338",4083,2683,546,10,2799,6014,175,641,5284,5143,3379,2598,6606,2802,5738,2737,3709,0,4020,1003,7670,1249,13409,27,1838,2963,4370,5259,9755,2949,4166,5261,0,4009,2555,54,5720,7309,2726,740,4806,11939,10813,12416,1334,0,53,19461,255,3587,940,2517,2001,0,1817,2256,77,3953,3005,0,5741,6543,0,5000,9775,3095,3685,17,0,10702,4279,3270,3064,3559,7811,2548,19503,9873,4145,2676,2714,0,217,557,1475,1585,539,2965,233,497,547,0,1482,720,0,3488,811,1510,1235,845,68,1573,1304,1094,463,395,0,28,1728,1217,597,0,376,186,378,877,2529,1748,527,2847,241,1606,1883,1420,202,3312,787,475,0,93,1341,0,3533,0,632,101,1113,0,1343,7526,411,755,2515,2363,629,479,870,0,9211,1050,462,1033,2632,2077,2387,455,1114,1291,417,1715,1696,0,1526,2348,334,855,3884,1671,774,23,630,2122,976,217,0,2205,5803,4793,0,308,3843,795,1253,927,651,292,470,1574,912,1929,265,379,657,3684,80,88,1670,1193,1565,1452,714,1662,1749,4092,3795,2210,6470,2053,23,0,7324,2687,3180,3103,1697,573,3227,6211,3817,16819,564,98,16
"99deb3c5ecb022ec05609ebd1112a557",10245,4873,4551,730,4504,25,872,5981,3957,15,14,13,5441,3202,0,18,7,11,3230,3601,905,0,25,5538,12,0,0,9130,37496,35,9,0,2018,6367,3166,22267,8031,0,0,2928,4775,5169,0,0,3057,1973,2562,386,21,2721,5333,14012,8,9,2599,0,1044,0,3038,272,5945,0,0,5286,0,9417,144,6195,0,0,4256,0,2296,0,2718,4428,10,9475,0,0,0,9561,746,0,2540,1847,551,0,1498,0,0,0,557,1283,6065,1858,1467,0,1251,865,2936,1205,2436,964,305,1011,0,1829,350,0,301,879,2431,163,1376,533,2338,1215,0,646,2266,2000,1546,1963,3497,4655,744,290,9085,231,1836,0,0,0,98,0,1949,0,2090,0,1661,2326,0,311,693,163,1679,0,0,1251,895,317,3508,2435,0,394,1554,1572,0,0,0,0,443,2898,1543,372,5,1504,819,0,1335,459,0,2174,0,2713,4415,3711,0,1145,4300,2853,0,389,0,0,570,817,1086,4567,0,632,0,1294,917,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680,1261,2034,2591,345,239,0,0,0,0,0,0,0
"f5f5e0da89730462abaf6301a9557193",4184,10780,6565,0,7000,19,1677,1170,4860,0,21,1026,5870,2978,68,32,385,0,1279,3979,21,125,0,38,68,35,2739,7573,21781,278,498,29,10687,5513,2604,29811,6538,1630,633,2054,8485,258,1427,0,2166,487,13,8845,258,3729,846,5636,42,0,12496,258,29,518,4087,0,955,0,0,3802,372,5686,189,1689,0,6235,6898,56,2177,262,2142,7324,12,8311,5947,333,0,0,208,978,708,371,209,0,1113,264,758,0,1271,1118,0,0,1481,2088,1678,267,1313,1743,870,155,629,609,3,36,1147,584,337,79,553,389,899,158,0,1577,0,689,0,555,1417,663,0,2038,417,227,0,20,934,0,1222,0,622,16,824,0,169,0,136,943,630,47,542,799,910,0,0,1422,358,1327,21,530,1223,695,1239,452,1897,45,427,0,374,1817,1206,3094,0,974,816,0,958,1055,1108,233,0,378,17,750,0,1802,0,139,1011,404,0,1304,0,1924,690,70,0,362,2272,131,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779,1130,307,443,1914,265,0,0,0,0,0,0,0
"263e41ea2c25dc87bd2ff5910cf30d40",5165,0,0,9,7362,0,812,122,156,0,0,7613,894,3318,4946,2932,6295,7629,1989,0,2131,0,0,0,0,0,2018,12405,16653,9053,7872,0,0,8385,1736,0,9282,524,3928,2085,4436,2282,33,0,4576,0,0,6473,0,6717,3282,6761,0,3154,0,2355,159,2017,751,0,1643,0,12268,316,5411,2928,215,0,3352,0,7482,0,717,0,1912,0,0,14222,2674,0,0,0,347,2165,705,1257,834,0,1310,0,0,0,0,412,0,512,820,0,2589,668,187,3972,408,27,1951,75,0,0,1651,4741,879,0,0,89,266,325,0,1401,0,0,49,1830,1021,1670,0,4204,1399,191,0,0,1186,0,0,0,1690,46,2923,0,876,0,653,1188,0,165,1304,1033,2343,0,0,256,1165,639,1015,3817,5356,200,658,1007,360,234,3382,0,169,539,2143,2412,0,0,0,0,1443,1359,4686,1005,0,2853,600,113,0,243,66,333,3437,510,0,593,0,2846,116,67,0,1215,402,92,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"35cbb315e019e0a8768d4b73862df415",3956,3913,1871,0,1450,9,186,0,0,0,3,0,4,4005,0,0,0,3,0,1450,0,3,0,0,0,5120,0,3538,10608,10,0,0,0,2274,2117,0,5833,3,0,1971,6542,0,4,0,3102,0,2,20541,6,2191,0,2200,0,0,5916,0,0,0,0,0,0,9547,0,0,0,792,9433,0,0,0,5136,11174,3008,5632,0,4897,0,9355,0,3,0,0,164,1045,1823,1183,261,0,0,0,0,0,680,890,0,0,1458,0,1101,1153,0,1306,2639,179,1902,1440,0,924,1097,945,331,1329,2001,199,636,649,0,3890,2,802,0,2112,2352,955,0,3247,89,553,0,26,358,0,0,0,1343,1813,733,0,1664,0,412,0,0,672,792,786,930,0,0,1349,206,632,0,2004,443,376,2777,1431,570,7277,1717,0,1518,349,0,1437,0,548,454,0,443,488,1327,2927,0,1764,0,1320,0,2517,0,1242,1641,1557,0,691,0,2855,4225,1120,0,139,687,2069,530,877,2301,3130,3661,2383,735,1886,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,1067,0,0
"8135beec331a8d558070c38b580e4b8e",0,0,0,180,0,0,0,6818,7621,0,16,80,12381,4033,2680,0,1792,2753,9,0,2396,0,0,0,4000,2625,0,8,0,272,695,0,0,22,3499,0,0,0,184,2599,0,8999,0,10627,5981,0,837,14,13895,3022,1141,10,11599,22,0,0,325,593,8136,66,3206,4081,1440,24361,3164,10,2251,20,666,15,0,4544,6442,1429,429,0,0,0,0,5873,0,0,0,694,0,532,378,0,758,0,0,0,0,0,0,125,0,0,0,0,2239,0,0,0,575,2220,0,0,0,2042,1048,0,0,0,0,0,1840,1242,0,0,4006,0,0,1591,0,5194,0,399,0,0,0,0,0,0,268,1631,1641,0,0,0,250,1844,0,0,0,0,814,0,0,0,0,0,1447,4226,3297,0,467,1986,369,3424,2607,0,0,0,1182,1233,0,0,0,0,0,0,1718,1769,0,0,4465,0,0,0,5105,0,960,1696,0,713,0,0,715,0,0,0,658,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3419,1245,1069,416,5087,407,0,0,0,0,0,0,0
"d76d59ec71de0e3b22da0c9cd564d41a",3287,998,557,0,3368,812,692,426,3641,0,0,8384,3810,1537,6069,4125,9189,3070,1435,588,2530,0,0,0,0,154,1225,1520,16141,10439,6122,0,17,795,2184,0,1820,245,4774,399,2860,314,686,0,2176,0,0,4498,0,1864,118,3642,0,1187,2157,3100,14,3551,1973,0,903,1552,2919,6546,8083,1905,555,21,420,1765,2016,370,1528,122,1889,1868,0,4682,954,0,0,0,196,882,377,518,153,0,609,311,377,0,393,258,0,0,624,1050,679,798,151,196,617,135,298,452,0,69,244,1668,374,0,209,44,622,362,0,1484,0,334,0,564,561,617,0,1246,359,156,0,0,488,0,1539,0,306,192,552,0,422,0,220,684,3739,23,251,404,447,0,0,423,398,129,0,1343,1972,208,419,294,235,1677,2288,0,332,615,874,891,0,237,360,0,898,527,1017,873,0,2185,31,450,0,285,24,171,1825,721,0,190,0,1012,1528,208,0,286,176,115,388,146,1107,987,826,956,651,840,1975,0,0,0,0,0,0,0,2282,1042,3710,1671,1760,239,2801,4191,3139,4972,158,0,0
"35ffcc3b809d667286737d79670b8de5",2338,0,0,210,2970,4684,166,0,0,1096,1219,0,0,0,0,0,0,0,43,0,1134,2025,553,10175,13,0,3002,1003,6283,15,0,2329,4873,778,0,74010,1166,1416,0,662,1348,212,12977,0,0,15352,722,1511,44,456,681,3595,0,0,0,0,1869,0,0,103,68,0,0,0,0,2171,0,2477,0,1830,403,39,0,0,282,0,1987,1028,1826,0,0,0,0,467,173,0,0,0,177,0,0,0,0,0,0,327,0,0,0,311,1197,54,0,0,137,656,0,331,50,718,0,353,311,0,0,95,0,255,0,0,6230,0,205,0,0,2734,0,0,0,0,0,403,0,0,284,0,0,0,0,0,0,2751,0,159,0,0,477,12548,0,0,0,340,1808,0,1961,0,0,0,148,0,1538,0,65,0,307,956,0,0,0,0,0,100,1296,0,0,460,5299,0,3929,123,6064,249,779,0,0,395,0,0,306,0,0,0,201,0,0,467,692,1050,206,260,154,197,1046,756,520,400,1424,463,1147,198,2449,590,466,812,803,250,0,0,0,0,0,0,0
"fd496fd32dc8c08ade2e8b6c9d8ee13d",1042,730,460,11,29,0,5,130,145,194,234,2609,53,372,352,2916,4616,202,1311,297,120,13600,71,1200,42,1865,7179,5042,2743,8021,1387,38,107,80,56,4861,577,9629,307,233,119,2200,9169,1643,1176,2274,37,1237,243,257,118,51,65,334,363,2629,573,313,512,4,1202,2607,46,1653,534,452,1875,88,188,18325,2963,5068,384,1685,1535,791,419,1098,8938,4452,172,221,855,882,14,772,145,186,68,163,36,94,38,361,82,2069,159,890,81,1424,562,11,244,53,71,260,398,118,192,127,22,113,46,67,22,1278,17,15,2229,195,821,147,180,819,511,51,1310,0,31,689,2508,127,215,38,345,969,119,202,109,194,39,695,511,1187,50,148,704,158,217,339,2375,72,115,1909,56,190,60,493,92,2518,66,25,164,3897,38,297,133,953,369,1106,2263,46,100,128,207,1613,196,190,1012,732,228,2085,541,14,185,28,113,1396,7,11,156,860,90,136,0,397,92,56,339,136,45,35,93,171,154,155,513,79,145,633,72,17,472,1287,1160,456,26,146,45,58,20,2012,300
"33518e48b174ac428cb7be1a216c6c6e",10024,4004,669,0,3682,0,696,634,779,0,0,0,607,1876,1878,1212,0,0,861,94,6608,185,0,0,36,635,2936,2283,20864,0,12,0,0,3495,933,18,1713,1597,816,902,2080,2350,1022,857,1662,0,27,4517,5151,2238,55,5181,38,0,1858,862,44,993,430,0,878,1651,0,762,2672,2389,2374,0,0,3045,1819,1023,1310,1090,537,3425,0,2166,2536,547,0,0,477,123,1244,1244,592,0,569,208,239,0,329,440,0,1130,604,477,467,349,1157,620,499,152,207,160,0,69,719,323,406,0,370,55,237,53,582,1011,0,840,0,718,955,1089,0,439,645,244,0,0,1048,0,2048,0,307,21,1192,0,800,0,335,1560,5041,109,460,333,796,0,0,734,942,568,151,2267,925,233,569,1415,528,654,128,0,1132,2700,717,519,0,335,309,0,740,757,117,3609,0,455,787,644,0,122,385,32,259,400,0,353,0,831,1770,451,0,341,595,200,112,0,1272,751,761,1232,411,820,2196,0,0,0,302,571,932,1107,1943,664,1121,2509,657,178,0,0,0,0,0,245,0
