"","GO-Pt1-Baseline","GO-Pt1-C1D1","GO-Pt1-C1D3","GO-Pt1-C1D7","GO-Pt1-C2D1","GO-Pt1-C3D1","GO-Pt1-Final","GO-Pt11-Baseline","GO-Pt11-C1D3","GO-Pt11-C1D7","GO-Pt11-C2D1","GO-Pt12-Baseline","GO-Pt12-C1D1","GO-Pt12-C1D3","GO-Pt12-C1D7","GO-Pt12-C2D1","GO-Pt12-C3D1","GO-Pt13-Baseline","GO-Pt13-C1D1","GO-Pt13-C1D3","GO-Pt13-C1D7","GO-Pt13-C2D1","GO-Pt13-C3D1","GO-Pt14-Baseline","GO-Pt14-C1D1","GO-Pt14-C1D3","GO-Pt14-C2D1","GO-Pt14-C3D1","GO-Pt14-Final","GO-Pt15-Baseline","GO-Pt15-C1D1","GO-Pt15-C1D3","GO-Pt15-C1D7","GO-Pt15-C2D1","GO-Pt17-Baseline","GO-Pt17-C1D1","GO-Pt17-C1D7","GO-Pt17-C2D1","GO-Pt17-C3D1","GO-Pt17-Final","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt18-C1D3","GO-Pt18-C1D7","GO-Pt18-C2D1","GO-Pt18-C3D1","GO-Pt19-Baseline","GO-Pt19-C1D3","GO-Pt19-C1D7","GO-Pt19-C2D1","GO-Pt19-C3D1","GO-Pt2-Baseline","GO-Pt2-C1D1","GO-Pt2-C1D3","GO-Pt2-C1D7","GO-Pt2-C2D1","GO-Pt2-C3D1","GO-Pt20-Baseline","GO-Pt20-C1D1","GO-Pt20-C1D3","GO-Pt20-C1D7","GO-Pt20-C2D1","GO-Pt20-C3D1","GO-Pt21-Baseline","GO-Pt21-C1D1","GO-Pt21-C1D3","GO-Pt21-C1D7","GO-Pt22-Baseline","GO-Pt22-C1D1","GO-Pt22-C1D3","GO-Pt22-C1D7","GO-Pt22-C2D1","GO-Pt23-Baseline","GO-Pt23-C1D1","GO-Pt23-C1D3","GO-Pt23-C1D7","GO-Pt23-C2D1","GO-Pt23-C3D1","GO-Pt24-Baseline","GO-Pt24-C1D1","GO-Pt25-Baseline","GO-Pt25-C1D1","GO-Pt25-C1D3","GO-Pt25-C2D1","GO-Pt25-C3D1","GO-Pt25-Final","GO-Pt29-Baseline","GO-Pt29-C1D1","GO-Pt29-C1D3","GO-Pt29-C2D1","GO-Pt29-C3D1","GO-Pt30-Baseline","GO-Pt30-C1D1","GO-Pt30-C1D3","GO-Pt30-C3D1","GO-Pt31-Baseline","GO-Pt31-C1D1","GO-Pt31-C1D3","GO-Pt31-C1D7","GO-Pt31-C2D1","GO-Pt31-C3D1","GO-Pt31-Final","GO-Pt32-Baseline","GO-Pt32-C1D1","GO-Pt32-C1D3","GO-Pt32-C1D7","GO-Pt32-C2D1","GO-Pt33-Baseline","GO-Pt33-C1D1","GO-Pt33-C1D3","GO-Pt33-C1D7","GO-Pt33-C2D1","GO-Pt33-Final","GO-Pt34-Baseline","GO-Pt34-C1D1","GO-Pt34-C1D3","GO-Pt35-Baseline","GO-Pt35-C1D1","GO-Pt35-C1D3","GO-Pt35-C1D7","GO-Pt35-C2D1","GO-Pt35-C3D1","GO-Pt35-Final","GO-Pt38-Baseline","GO-Pt38-C1D1","GO-Pt38-C1D3","GO-Pt38-C1D7","GO-Pt38-C2D1","GO-Pt38-C3D1","GO-Pt38-Final","GO-Pt39-Baseline","GO-Pt4-Baseline","GO-Pt4-C1D1","GO-Pt4-C1D3","GO-Pt4-C2D1","GO-Pt4-C3D1","GO-Pt40-Baseline","GO-Pt40-C1D3","GO-Pt40-C1D7","GO-Pt42-Baseline","GO-Pt42-C1D1","GO-Pt42-C1D3","GO-Pt42-C1D7","GO-Pt42-C2D1","GO-Pt42-C3D1","GO-Pt42-Final","GO-Pt43-Baseline","GO-Pt43-C1D1","GO-Pt43-C1D3","GO-Pt43-C1D7","GO-Pt43-C2D1","GO-Pt43-C3D1","GO-Pt43-Final","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt44-C1D3","GO-Pt44-C1D7","GO-Pt44-C2D1","GO-Pt45-Baseline","GO-Pt45-C1D1","GO-Pt45-C1D3","GO-Pt45-C1D7","GO-Pt45-C2D1","GO-Pt45-C3D1","GO-Pt45-Final","GO-Pt47-Baseline","GO-Pt47-C1D1","GO-Pt47-C1D3","GO-Pt47-C1D7","GO-Pt47-C2D1","GO-Pt50-Baseline","GO-Pt50-C1D1","GO-Pt50-C1D3","GO-Pt50-C1D7","GO-Pt50-C2D1","GO-Pt50-C3D1","GO-Pt50-Final","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt6-C1D1","GO-Pt6-C1D3","GO-Pt6-C1D7","GO-Pt6-C2D1","GO-Pt6-C3D1","GO-Pt7-Baseline","GO-Pt7-C1D1","GO-Pt7-C1D3","GO-Pt7-C1D7","GO-Pt7-C2D1","GO-Pt9b-Baseline","GO-Pt9b-C1D1","GO-Pt9b-C1D3","GO-Pt9b-C2D1","GO-Pt9b-C3D1","GO-Pt9c-C1D3"
"d__Archaea;  p__Euryarchaeota;  c__Methanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,1123,4043,767,499,1721,15,52,0,428,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,312,2392,132,736,864,381,164,53,93,209,199,95,572,0,0,0,0,0,15,561,907,522,282,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,21,1000,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,521,354,126,198,19,17,36,5,0,0,0,0,0,0,0,0,191,338,982,384,817,560,541,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223,340,201,41,155
"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria",11,13,12,81,56,0,2,33,69,99,63,9110,2742,3812,4308,9612,16719,1085,799,262,1524,705,2611,2166,1377,804,877,610,2836,736,1534,321,151,2375,23,53,110,71,3,694,2012,2007,3682,1426,4821,13407,879,1012,255,493,125,3038,1933,13123,1464,2597,2059,629,8385,2585,6052,2711,5729,3906,3755,294,98,5315,6080,1815,461,6242,146,90,47,106,82,993,12,54,15,62,47,83,187,9,765,508,197,211,663,4462,3450,3046,4290,1517,1056,2362,4714,745,171,44,4,250,45,77,39,991,2341,300,1945,2002,256,230,232,38,38,6,6,52,26,61,150,472,2079,874,1961,1591,1303,2760,420,88,4892,1678,649,88,0,6,81,2351,254,54,228,2952,590,608,9,0,3,11,0,19,22,631,1028,817,1470,2675,2252,376,564,837,167,752,310,58,27,122,14,80,4,5,5,0,29,49,10,874,1169,552,400,214,227,1369,3116,2789,4931,3502,1172,1402,405,32,44,44,21,0,2454,594,471,829,844,294,1805,404,750,1299,1673,10584,15695,5107,3461,74967,1504,509,1051,961,2166,483
"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia",3895,702,2407,2630,6889,751,666,412,468,549,254,6823,5259,6044,9581,3682,21130,582,845,375,780,396,406,1295,1090,608,1085,566,1593,795,1468,994,329,606,3725,4448,3910,5701,457,45,0,3,12,0,0,9,5797,12949,10408,11363,7120,67,373,574,77,212,157,199,11355,4171,2502,1088,1589,498,272,234,394,632,722,347,197,1047,1021,2221,324,1909,1288,2513,2089,8142,267,1350,2012,635,1219,596,2035,1414,864,909,1732,751,396,195,1108,2138,2816,6653,6451,2080,796,3552,30,147,454,112,27,458,542,558,637,1278,150,0,0,0,537,292,278,330,416,637,1054,1099,1965,1158,623,2090,1490,3757,0,1594,3320,3373,876,911,592,4558,792,2799,1279,1829,625,2299,1656,1383,775,817,1023,1466,218,1279,2108,1946,2905,1719,1417,3079,4349,1031,3656,1970,1095,3331,2838,0,232,323,137,112,389,388,667,335,1111,664,899,2403,3462,3794,2482,767,2016,5400,215,286,271,642,345,59,414,0,30,18,0,1163,145,134,315,133,320,79,7753,2868,5783,2004,4785,129,158,125,51,652,771,704,873,699,1682,1113
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia",10661,2462,25517,5139,16178,1899,2485,32,7961,1373,4932,12452,13087,21415,26543,22259,925,5008,9347,6197,5858,2377,2147,21666,19739,14454,19901,11200,5935,20458,34932,26654,13900,7790,15025,10299,27936,24609,2747,1347,17018,18699,16418,1383,14869,14591,17144,19916,26756,38017,17231,12396,21914,64,544,287,35412,1903,71896,16194,21245,17471,10937,6621,4229,187,33,13581,13940,11332,5603,6362,6017,5409,1889,6314,10441,8933,2472,4679,1004,5980,6656,3610,5270,1137,9339,2418,8538,1964,10781,6828,2925,2229,5520,5544,8953,9874,7961,9606,1974,14397,2039,10148,11094,12373,1230,6902,1572,11132,7382,14481,9712,15004,14675,12882,66,0,0,0,2,0,0,4556,7366,4409,4941,3152,1640,10749,0,27015,21905,2389,14708,12642,5280,12001,3848,9230,8384,6747,6643,8134,13141,11105,9142,6864,8781,16035,3017,13648,8787,10893,8515,5890,5233,16458,4154,1734,6839,8629,6185,15787,8073,0,0,0,0,0,3017,2220,2941,2287,8179,5207,3184,4793,5790,3308,3449,208,7421,3406,7,0,106,0,0,0,0,41,423,2118,20681,6628,7323,4222,4474,7734,780,433,10187,19369,16892,12516,18343,20542,8632,8152,27564,66343,4427,7611,5890,5444,7564,8381
"d__Bacteria;  p__Campilobacterota;  c__Campylobacteria",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,82,0,0,0,18,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Cyanobacteria;  c__Cyanobacteriia",0,0,31,0,0,0,0,0,0,39,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,21,0,35,25,0,0,0,0,0,37,0,30,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,6,2,0,0,0,0,0,0,0,3,19,0,18,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,4
"d__Bacteria;  p__Cyanobacteria;  c__Vampirivibrionia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,64,8,89,131,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,273,4186,201,24,61,139,0,0,0,0,0,0,0,0,0,42,6,45,147,162,59,4,6,5,14,30,10,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,73,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,74,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,575,120,109,256,463
"d__Bacteria;  p__Desulfobacterota;  c__Desulfovibrionia",202,33,525,7,443,14,0,0,0,0,0,0,0,0,0,0,0,141,327,221,174,177,89,326,229,77,150,34,59,449,542,621,262,60,122,119,227,270,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,208,112,97,44,55,0,0,0,3,174,158,147,150,413,39,59,8,34,74,61,8,29,3,39,46,33,29,14,52,64,4,25,85,100,35,7,83,9,33,120,159,80,46,326,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,116,44,53,109,18,79,0,150,424,67,122,104,15,95,19,167,24,40,24,163,6,101,204,81,72,129,40,216,277,224,320,190,69,192,30,32,104,108,91,160,64,0,0,0,0,0,27,31,30,27,114,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,27,29,4,5,67,298,165,234,168,25,74,26,817,2947,86,213,159,38,37,28
"d__Bacteria;  p__Firmicutes;  c__Bacilli",3494,2499,10365,6768,4886,2433,5481,4579,11055,7599,4802,2069,3922,1586,3823,6659,5119,1847,3496,2021,2377,4230,3757,4736,3784,1865,1664,1901,1335,1846,4002,1619,1091,3896,2786,3043,5131,4473,485,5267,9576,11016,18758,9212,16980,20294,3663,9761,4899,5385,3358,10670,12316,43255,24347,44368,23281,118,4630,1296,515,678,273,1490,855,888,1886,1335,1331,718,4014,2346,1842,1685,519,2090,2016,4218,1870,5845,701,4083,4732,2052,2729,1183,3241,2527,1723,2230,4895,1425,667,897,5147,3490,2036,5243,3801,2152,740,3434,362,2026,1693,2553,432,8423,4148,5165,1684,2696,710,1458,1664,1340,7061,4362,3828,3000,1541,3118,3881,1285,1462,841,616,327,424,782,7471,2618,5835,424,3742,2764,647,4208,1854,6551,4294,3722,3638,3603,3679,5246,2585,1335,981,1861,261,696,4276,2759,3706,1677,4738,11095,4573,877,3871,2983,844,3155,3544,2082,3897,7009,2445,6053,1629,2317,3984,2200,7301,4088,4001,707,770,875,920,195,468,1425,4795,3733,3599,8513,2082,1513,3551,1534,3158,928,2412,144,269,122,835,1841,2097,914,1681,1105,1885,8709,11236,4194,5811,2877,3044,111690,375,506,473,322,1194,1838
"d__Bacteria;  p__Firmicutes;  c__Clostridia",35918,22260,50188,46926,65042,7727,13609,52009,67311,69045,52366,63991,52046,58258,83339,66623,97895,70572,121625,45423,53266,53793,39152,42116,112391,58500,81890,55397,21279,52021,80101,29472,20393,28211,48760,47943,53539,65818,9870,11258,25887,19431,64804,30686,23703,26041,41413,57677,51728,81846,30276,29444,38448,20518,19927,3711,48665,8359,190018,55443,51454,38716,52593,56651,52540,18916,82697,29940,27242,13644,9624,18403,26498,22222,7581,15805,23454,31372,11104,39788,6154,21428,27043,18791,15952,10625,25983,13063,20786,10351,18995,20402,20562,13491,32034,17208,16490,39694,34733,22713,10573,40469,8976,22193,26860,31846,7436,18700,14217,22066,14737,23190,12100,13601,11275,5873,19980,19372,12455,21438,18848,31029,34660,12968,17491,16965,25280,21807,15740,28775,1191,53220,83817,49368,43862,41783,10596,47065,12427,24578,12989,20922,12190,16520,8891,16014,18501,13431,18818,24907,5393,20137,21789,14209,15085,7386,11199,17356,33272,11422,15984,15880,12386,20597,14283,17070,9483,16013,14231,28143,17517,23618,25799,13798,41870,25748,27449,24990,17996,17333,18038,6729,18042,18076,25136,26245,32316,26184,16796,9252,24977,20922,40481,28432,69549,9984,41815,19318,21494,20459,24971,6411,73007,46021,79067,29085,57103,37195,29831,34792,72630,87299,12692,17969,18491,17984,30775,22266
"d__Bacteria;  p__Firmicutes;  c__Incertae_Sedis",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,16,0,11,7,3,0,44,19,20,8,5,49,128,25,10,27,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,12,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4
