"","GO-Pt1-Baseline","GO-Pt1-C1D1","GO-Pt1-C1D3","GO-Pt1-C1D7","GO-Pt1-C2D1","GO-Pt1-C3D1","GO-Pt1-Final","GO-Pt11-Baseline","GO-Pt11-C1D3","GO-Pt11-C1D7","GO-Pt11-C2D1","GO-Pt12-Baseline","GO-Pt12-C1D1","GO-Pt12-C1D3","GO-Pt12-C1D7","GO-Pt12-C2D1","GO-Pt12-C3D1","GO-Pt13-Baseline","GO-Pt13-C1D1","GO-Pt13-C1D3","GO-Pt13-C1D7","GO-Pt13-C2D1","GO-Pt13-C3D1","GO-Pt14-Baseline","GO-Pt14-C1D1","GO-Pt14-C1D3","GO-Pt14-C2D1","GO-Pt14-C3D1","GO-Pt14-Final","GO-Pt15-Baseline","GO-Pt15-C1D1","GO-Pt15-C1D3","GO-Pt15-C1D7","GO-Pt15-C2D1","GO-Pt17-Baseline","GO-Pt17-C1D1","GO-Pt17-C1D7","GO-Pt17-C2D1","GO-Pt17-C3D1","GO-Pt17-Final","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt18-C1D3","GO-Pt18-C1D7","GO-Pt18-C2D1","GO-Pt18-C3D1","GO-Pt19-Baseline","GO-Pt19-C1D3","GO-Pt19-C1D7","GO-Pt19-C2D1","GO-Pt19-C3D1","GO-Pt2-Baseline","GO-Pt2-C1D1","GO-Pt2-C1D3","GO-Pt2-C1D7","GO-Pt2-C2D1","GO-Pt2-C3D1","GO-Pt20-Baseline","GO-Pt20-C1D1","GO-Pt20-C1D3","GO-Pt20-C1D7","GO-Pt20-C2D1","GO-Pt20-C3D1","GO-Pt21-Baseline","GO-Pt21-C1D1","GO-Pt21-C1D3","GO-Pt21-C1D7","GO-Pt22-Baseline","GO-Pt22-C1D1","GO-Pt22-C1D3","GO-Pt22-C1D7","GO-Pt22-C2D1","GO-Pt23-Baseline","GO-Pt23-C1D1","GO-Pt23-C1D3","GO-Pt23-C1D7","GO-Pt23-C2D1","GO-Pt23-C3D1","GO-Pt24-Baseline","GO-Pt24-C1D1","GO-Pt25-Baseline","GO-Pt25-C1D1","GO-Pt25-C1D3","GO-Pt25-C2D1","GO-Pt25-C3D1","GO-Pt25-Final","GO-Pt29-Baseline","GO-Pt29-C1D1","GO-Pt29-C1D3","GO-Pt29-C2D1","GO-Pt29-C3D1","GO-Pt30-Baseline","GO-Pt30-C1D1","GO-Pt30-C1D3","GO-Pt30-C3D1","GO-Pt31-Baseline","GO-Pt31-C1D1","GO-Pt31-C1D3","GO-Pt31-C1D7","GO-Pt31-C2D1","GO-Pt31-C3D1","GO-Pt31-Final","GO-Pt32-Baseline","GO-Pt32-C1D1","GO-Pt32-C1D3","GO-Pt32-C1D7","GO-Pt32-C2D1","GO-Pt33-Baseline","GO-Pt33-C1D1","GO-Pt33-C1D3","GO-Pt33-C1D7","GO-Pt33-C2D1","GO-Pt33-Final","GO-Pt34-Baseline","GO-Pt34-C1D1","GO-Pt34-C1D3","GO-Pt35-Baseline","GO-Pt35-C1D1","GO-Pt35-C1D3","GO-Pt35-C1D7","GO-Pt35-C2D1","GO-Pt35-C3D1","GO-Pt35-Final","GO-Pt38-Baseline","GO-Pt38-C1D1","GO-Pt38-C1D3","GO-Pt38-C1D7","GO-Pt38-C2D1","GO-Pt38-C3D1","GO-Pt38-Final","GO-Pt39-Baseline","GO-Pt4-Baseline","GO-Pt4-C1D1","GO-Pt4-C1D3","GO-Pt4-C2D1","GO-Pt4-C3D1","GO-Pt40-Baseline","GO-Pt40-C1D3","GO-Pt40-C1D7","GO-Pt42-Baseline","GO-Pt42-C1D1","GO-Pt42-C1D3","GO-Pt42-C1D7","GO-Pt42-C2D1","GO-Pt42-C3D1","GO-Pt42-Final","GO-Pt43-Baseline","GO-Pt43-C1D1","GO-Pt43-C1D3","GO-Pt43-C1D7","GO-Pt43-C2D1","GO-Pt43-C3D1","GO-Pt43-Final","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt44-C1D3","GO-Pt44-C1D7","GO-Pt44-C2D1","GO-Pt45-Baseline","GO-Pt45-C1D1","GO-Pt45-C1D3","GO-Pt45-C1D7","GO-Pt45-C2D1","GO-Pt45-C3D1","GO-Pt45-Final","GO-Pt47-Baseline","GO-Pt47-C1D1","GO-Pt47-C1D3","GO-Pt47-C1D7","GO-Pt47-C2D1","GO-Pt50-Baseline","GO-Pt50-C1D1","GO-Pt50-C1D3","GO-Pt50-C1D7","GO-Pt50-C2D1","GO-Pt50-C3D1","GO-Pt50-Final","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt6-C1D1","GO-Pt6-C1D3","GO-Pt6-C1D7","GO-Pt6-C2D1","GO-Pt6-C3D1","GO-Pt7-Baseline","GO-Pt7-C1D1","GO-Pt7-C1D3","GO-Pt7-C1D7","GO-Pt7-C2D1","GO-Pt9b-Baseline","GO-Pt9b-C1D1","GO-Pt9b-C1D3","GO-Pt9b-C2D1","GO-Pt9b-C3D1","GO-Pt9c-C1D3"
"d__Archaea;  p__Euryarchaeota;  c__Methanobacteria;  o__Methanobacteriales;  f__Methanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,1123,4043,767,499,1721,15,52,0,428,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,312,2392,132,736,864,381,164,53,93,209,199,95,572,0,0,0,0,0,15,561,907,522,282,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,21,1000,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,521,354,126,198,19,17,36,5,0,0,0,0,0,0,0,0,191,338,982,384,817,560,541,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223,340,201,41,155
"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae",7,0,12,28,12,0,0,31,49,75,57,11,10,27,30,25,33,17,36,13,0,7,7,41,27,16,7,3,4,11,43,5,10,63,13,36,69,46,3,55,24,36,374,5,43,14,130,377,208,286,64,15,101,121,37,316,159,0,17,7,0,9,0,0,0,0,70,16,16,7,98,12,13,22,0,13,13,49,9,34,0,0,14,0,0,0,9,7,11,35,241,0,0,0,0,21,10,28,19,10,0,0,4,15,32,70,5,16,29,76,42,96,9,24,27,31,7,6,6,26,18,53,62,5,0,13,0,5,4,26,9,12,34,0,33,33,0,6,12,8,0,0,14,19,10,8,9,0,3,8,0,14,11,0,0,0,0,52,22,5,34,21,5,60,16,34,0,9,6,36,4,5,5,0,20,6,10,0,0,0,0,0,0,0,0,9,9,5,0,0,27,10,0,0,0,0,5,4,0,13,18,10,33,29,23,0,0,13,32,11,36,133,0,0,0,0,0,6
"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae",4,13,0,21,44,0,2,0,15,0,0,9099,2732,3785,4278,9587,16635,1065,753,249,1522,698,2604,2122,1350,788,870,607,2832,725,1488,316,135,2275,0,5,28,13,0,569,1971,1967,3247,1421,4765,13393,727,549,26,183,38,3002,1826,12983,1416,2032,1830,629,8368,2578,6050,2702,5729,3906,3755,294,17,5299,6064,1808,327,6230,129,68,47,91,66,944,3,13,15,62,33,83,187,9,746,492,186,170,422,4462,3450,3046,4290,1496,1046,2334,4695,735,171,44,0,235,8,0,34,975,2309,224,1903,1906,247,206,205,7,11,0,0,0,0,0,0,467,2079,861,1961,1586,1296,2734,403,68,4853,1678,616,43,0,0,63,2343,250,54,214,2933,580,600,0,0,0,0,0,5,11,624,1021,813,1470,2596,2230,371,530,813,162,692,294,3,27,113,0,16,0,0,0,0,0,39,0,874,1169,552,400,214,227,1369,3116,2780,4922,3497,1172,1402,375,22,37,44,21,0,2449,590,466,812,820,278,1772,372,727,1299,1668,10571,15663,5096,3418,74784,1501,496,1051,959,2166,477
"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Corynebacteriaceae",0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,37,0,0,0,0,0,8,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,0,0,0,2,0,0,13,0,0,0,0
"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Micrococcaceae",0,0,0,32,0,0,0,0,0,14,6,0,0,0,0,0,39,3,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,13,12,0,62,17,4,53,0,13,0,22,76,21,13,23,21,6,19,11,222,70,0,0,0,0,0,0,0,0,0,11,0,0,0,36,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,10,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,26,8,8,88,0,0,0,0,0,0,0,8,8,5,0,0,12,0,0,6,0,4,0,0,0,0,0,0,0,0,3,0,0,0,7,7,4,0,27,0,0,0,3,0,0,0,15,0,0,8,28,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,6,6,0,0,0,0,0,0,0,0,5,50,3,0,0,2,0,0
"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Atopobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,4,29,155,5,8,11,0,0,0,12,0,0,0,17,40,14,23,0,0,16,16,0,30,27,0,0,0,0,0,0,25,10,0,5,0,0,0,0,0,31,45,6,33,16,16,0,6,6,64,135,23,55,38,54,53,5,57,49,0,0,0,0,386,606,1622,1273,248,101,232,0,0,3,5,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,4,2,0,0,6,23,25,21,75,0,0,0,0,0,6,0,0,0,0,2,0,0,0,4,3,0,0,0,2,0,0,4,43,86,91,77,54,473,83,348,177,71,98,43,0,0,0,0,2,15,13,22,15,42,21,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,334,162,166,69,120,129,158,125,51,487,0,0,0,0,0,0
"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Coriobacteriaceae",0,0,3,0,6,0,0,0,10,0,0,6542,5136,5833,9355,3538,20541,0,0,0,0,0,0,0,0,0,4,0,1440,0,2,0,0,0,2117,3008,3102,4040,331,26,0,3,0,0,0,9,5120,11174,9433,9547,5632,0,0,4,3,3,0,186,10608,3956,2200,792,1450,3,0,0,0,0,0,0,0,0,733,1431,261,1183,955,2004,1813,7277,199,898,1355,454,636,376,1872,1248,811,708,1493,0,0,0,0,1348,1909,3908,4229,1561,553,2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,1641,945,443,1717,1327,3247,0,1182,1145,204,314,418,412,2927,530,2352,1097,1306,488,1823,1518,1101,548,680,802,1320,179,1120,2069,1742,2484,1331,1135,2783,3102,852,2826,1554,868,2596,2412,0,0,2,0,0,139,89,206,164,349,358,443,2301,3130,3661,2383,735,1886,5381,0,0,0,0,0,0,0,0,16,10,0,1067,0,0,0,0,0,0,5916,1871,4897,1450,3913,0,0,0,0,0,691,570,687,632,1437,930
"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Coriobacteriales_Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,395,185,506,262,12,0,0,0,0,0,357,116,113,228,26,0,0,0,0,0,0,0,9,42,27,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,16,0,0,0,8,10,0,6,0,10,13,3,31,0,0,0,0,7,0,0,4,17,0,4,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,123,91,40,149,38,161,0,0,0,0,0,0,23,47,14,4,0,0,0,0,0,0,20,21,27,9,0,35,6,0,12,9,9,27,0,0,4,0,0,0,0,0,0,0,0,0,14,7,17,6,22,7,30,14,52,29,27,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39,14,33,42,31,25,13,20,0,0,0,0,0,0,0,4,0,0,0
"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Eggerthellaceae",3895,702,2404,2630,6883,751,666,412,458,549,254,281,123,211,226,144,589,582,845,375,780,396,406,1007,693,421,575,300,141,795,1466,994,329,602,1222,1169,690,1425,89,19,0,0,0,0,0,0,651,1693,934,1775,1475,67,357,554,74,179,130,13,747,215,302,296,139,470,262,234,389,632,722,347,197,1047,248,727,54,679,307,466,276,859,62,376,500,151,514,180,99,100,45,113,190,751,396,195,1101,404,301,1119,932,271,138,531,30,147,451,107,27,458,542,558,634,1269,140,0,0,0,537,292,278,330,416,633,1052,34,201,116,117,199,104,274,0,412,2175,3169,562,487,157,1584,248,441,180,521,133,474,134,279,207,116,194,135,39,124,29,161,323,288,196,212,774,96,478,239,156,637,383,0,232,321,137,110,221,279,418,150,687,275,404,86,280,104,72,26,112,19,215,286,271,642,345,59,414,0,14,8,0,96,145,134,282,94,301,43,1461,804,695,472,732,0,0,0,0,165,66,106,158,63,221,154
"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,7,10,11,0,0,0,4,12,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,24,4,24,29
"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Bacteroidaceae",7144,2163,19447,2517,11214,1516,1993,29,7961,1373,4932,11518,11976,19874,24461,20564,587,0,16,12,0,18,0,18520,11381,9447,12171,8056,3467,10542,13608,9636,4290,3202,10464,7872,20534,18036,2199,1196,17016,18699,16408,1367,14859,14587,10549,9135,17806,20151,6609,198,488,0,0,31,1245,1263,55358,12900,17093,13932,7503,11,6,0,20,9867,10039,8416,4606,4748,4833,4263,1606,4661,7534,6634,1473,3156,417,2955,3766,2012,3181,840,6860,1689,6783,1485,7914,5414,2705,2134,5063,188,704,3385,3650,2214,724,4084,880,5105,7307,9271,959,5484,1194,6518,3973,9777,8330,15004,14675,12882,0,0,0,0,0,0,0,4306,6362,4008,4074,2280,1409,9459,0,23601,18026,1733,11702,10053,4068,9119,2956,3179,524,1985,780,3981,576,2039,8405,6587,8176,14943,2804,12229,8598,4145,5904,4215,2720,5345,1756,351,5152,3253,1540,5979,5118,0,0,0,0,0,1811,1514,1898,1535,6528,3663,2424,4313,5224,3069,3285,199,7072,3270,0,0,0,0,0,0,0,21,100,28,20681,6297,7234,4181,4325,7453,773,431,7356,13919,12994,8906,11623,20517,8592,8152,27039,57962,1316,2244,1353,1524,3862,5710
