"","GO-Pt1-Baseline","GO-Pt1-C1D1","GO-Pt1-C1D3","GO-Pt1-C1D7","GO-Pt1-C2D1","GO-Pt1-C3D1","GO-Pt1-Final","GO-Pt11-Baseline","GO-Pt11-C1D3","GO-Pt11-C1D7","GO-Pt11-C2D1","GO-Pt12-Baseline","GO-Pt12-C1D1","GO-Pt12-C1D3","GO-Pt12-C1D7","GO-Pt12-C2D1","GO-Pt12-C3D1","GO-Pt13-Baseline","GO-Pt13-C1D1","GO-Pt13-C1D3","GO-Pt13-C1D7","GO-Pt13-C2D1","GO-Pt13-C3D1","GO-Pt14-Baseline","GO-Pt14-C1D1","GO-Pt14-C1D3","GO-Pt14-C2D1","GO-Pt14-C3D1","GO-Pt14-Final","GO-Pt15-Baseline","GO-Pt15-C1D1","GO-Pt15-C1D3","GO-Pt15-C1D7","GO-Pt15-C2D1","GO-Pt17-Baseline","GO-Pt17-C1D1","GO-Pt17-C1D7","GO-Pt17-C2D1","GO-Pt17-C3D1","GO-Pt17-Final","GO-Pt18-Baseline","GO-Pt18-C1D1","GO-Pt18-C1D3","GO-Pt18-C1D7","GO-Pt18-C2D1","GO-Pt18-C3D1","GO-Pt19-Baseline","GO-Pt19-C1D3","GO-Pt19-C1D7","GO-Pt19-C2D1","GO-Pt19-C3D1","GO-Pt2-Baseline","GO-Pt2-C1D1","GO-Pt2-C1D3","GO-Pt2-C1D7","GO-Pt2-C2D1","GO-Pt2-C3D1","GO-Pt20-Baseline","GO-Pt20-C1D1","GO-Pt20-C1D3","GO-Pt20-C1D7","GO-Pt20-C2D1","GO-Pt20-C3D1","GO-Pt21-Baseline","GO-Pt21-C1D1","GO-Pt21-C1D3","GO-Pt21-C1D7","GO-Pt22-Baseline","GO-Pt22-C1D1","GO-Pt22-C1D3","GO-Pt22-C1D7","GO-Pt22-C2D1","GO-Pt23-Baseline","GO-Pt23-C1D1","GO-Pt23-C1D3","GO-Pt23-C1D7","GO-Pt23-C2D1","GO-Pt23-C3D1","GO-Pt24-Baseline","GO-Pt24-C1D1","GO-Pt25-Baseline","GO-Pt25-C1D1","GO-Pt25-C1D3","GO-Pt25-C2D1","GO-Pt25-C3D1","GO-Pt25-Final","GO-Pt29-Baseline","GO-Pt29-C1D1","GO-Pt29-C1D3","GO-Pt29-C2D1","GO-Pt29-C3D1","GO-Pt30-Baseline","GO-Pt30-C1D1","GO-Pt30-C1D3","GO-Pt30-C3D1","GO-Pt31-Baseline","GO-Pt31-C1D1","GO-Pt31-C1D3","GO-Pt31-C1D7","GO-Pt31-C2D1","GO-Pt31-C3D1","GO-Pt31-Final","GO-Pt32-Baseline","GO-Pt32-C1D1","GO-Pt32-C1D3","GO-Pt32-C1D7","GO-Pt32-C2D1","GO-Pt33-Baseline","GO-Pt33-C1D1","GO-Pt33-C1D3","GO-Pt33-C1D7","GO-Pt33-C2D1","GO-Pt33-Final","GO-Pt34-Baseline","GO-Pt34-C1D1","GO-Pt34-C1D3","GO-Pt35-Baseline","GO-Pt35-C1D1","GO-Pt35-C1D3","GO-Pt35-C1D7","GO-Pt35-C2D1","GO-Pt35-C3D1","GO-Pt35-Final","GO-Pt38-Baseline","GO-Pt38-C1D1","GO-Pt38-C1D3","GO-Pt38-C1D7","GO-Pt38-C2D1","GO-Pt38-C3D1","GO-Pt38-Final","GO-Pt39-Baseline","GO-Pt4-Baseline","GO-Pt4-C1D1","GO-Pt4-C1D3","GO-Pt4-C2D1","GO-Pt4-C3D1","GO-Pt40-Baseline","GO-Pt40-C1D3","GO-Pt40-C1D7","GO-Pt42-Baseline","GO-Pt42-C1D1","GO-Pt42-C1D3","GO-Pt42-C1D7","GO-Pt42-C2D1","GO-Pt42-C3D1","GO-Pt42-Final","GO-Pt43-Baseline","GO-Pt43-C1D1","GO-Pt43-C1D3","GO-Pt43-C1D7","GO-Pt43-C2D1","GO-Pt43-C3D1","GO-Pt43-Final","GO-Pt44-Baseline","GO-Pt44-C1D1","GO-Pt44-C1D3","GO-Pt44-C1D7","GO-Pt44-C2D1","GO-Pt45-Baseline","GO-Pt45-C1D1","GO-Pt45-C1D3","GO-Pt45-C1D7","GO-Pt45-C2D1","GO-Pt45-C3D1","GO-Pt45-Final","GO-Pt47-Baseline","GO-Pt47-C1D1","GO-Pt47-C1D3","GO-Pt47-C1D7","GO-Pt47-C2D1","GO-Pt50-Baseline","GO-Pt50-C1D1","GO-Pt50-C1D3","GO-Pt50-C1D7","GO-Pt50-C2D1","GO-Pt50-C3D1","GO-Pt50-Final","GO-Pt51-Baseline","GO-Pt51-C1D1","GO-Pt51-C1D3","GO-Pt51-C1D7","GO-Pt51-C2D1","GO-Pt51-C3D1","GO-Pt51-Final","GO-Pt52-Baseline","GO-Pt52-C1D1","GO-Pt52-C1D3","GO-Pt52-C1D7","GO-Pt52-C2D1","GO-Pt52-C3D1","GO-Pt52-Final","GO-Pt53-Baseline","GO-Pt53-C1D1","GO-Pt53-C1D3","GO-Pt53-C1D7","GO-Pt53-C2D1","GO-Pt54-Baseline","GO-Pt54-C1D1","GO-Pt54-C1D3","GO-Pt54-C1D7","GO-Pt54-C3D1","GO-Pt54-Final","GO-Pt6-C1D1","GO-Pt6-C1D3","GO-Pt6-C1D7","GO-Pt6-C2D1","GO-Pt6-C3D1","GO-Pt7-Baseline","GO-Pt7-C1D1","GO-Pt7-C1D3","GO-Pt7-C1D7","GO-Pt7-C2D1","GO-Pt9b-Baseline","GO-Pt9b-C1D1","GO-Pt9b-C1D3","GO-Pt9b-C2D1","GO-Pt9b-C3D1","GO-Pt9c-C1D3"
"d__Archaea;  p__Euryarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,1123,4043,767,499,1721,15,52,0,428,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,312,2392,132,736,864,381,164,53,93,209,199,95,572,0,0,0,0,0,15,561,907,522,282,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,21,1000,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,521,354,126,198,19,17,36,5,0,0,0,0,0,0,0,0,191,338,982,384,817,560,541,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,223,340,201,41,155
"d__Bacteria;  p__Actinobacteriota",3906,715,2419,2711,6945,751,668,445,537,648,317,15933,8001,9856,13889,13294,37849,1667,1644,637,2304,1101,3017,3461,2467,1412,1962,1176,4429,1531,3002,1315,480,2981,3748,4501,4020,5772,460,739,2012,2010,3694,1426,4821,13416,6676,13961,10663,11856,7245,3105,2306,13697,1541,2809,2216,828,19740,6756,8554,3799,7318,4404,4027,528,492,5947,6802,2162,658,7289,1167,2311,371,2015,1370,3506,2101,8196,282,1412,2059,718,1406,605,2800,1922,1061,1120,2395,5213,3846,3241,5398,3655,3872,9015,11165,2825,967,3596,34,397,499,189,66,1449,2883,858,2582,3280,406,230,232,38,575,298,284,382,442,698,1204,1571,4044,2032,2584,3681,2793,6517,420,1682,8212,5051,1525,999,592,4564,873,5150,1533,1883,853,5251,2246,1991,784,817,1026,1477,218,1298,2130,2577,3933,2536,2887,5754,6601,1407,4220,2807,1262,4083,3148,58,259,445,151,192,393,393,672,335,1140,713,909,3277,4631,4346,2882,981,2243,6769,3331,3075,5202,4144,1517,1461,819,32,74,62,21,1163,2599,728,786,962,1164,373,9558,3272,6533,3303,6458,10713,15853,5232,3512,75619,2275,1213,1924,1660,3848,1596
"d__Bacteria;  p__Bacteroidota",10661,2462,25517,5139,16178,1899,2485,32,7961,1373,4932,12452,13087,21415,26543,22259,925,5008,9347,6197,5858,2377,2147,21666,19739,14454,19901,11200,5935,20458,34932,26654,13900,7790,15025,10299,27936,24609,2747,1347,17018,18699,16418,1383,14869,14591,17144,19916,26756,38017,17231,12396,21914,64,544,287,35412,1903,71896,16194,21245,17471,10937,6621,4229,187,33,13581,13940,11332,5603,6362,6017,5409,1889,6314,10441,8933,2472,4679,1004,5980,6656,3610,5270,1137,9339,2418,8538,1964,10781,6828,2925,2229,5520,5544,8953,9874,7961,9606,1974,14397,2039,10148,11094,12373,1230,6902,1572,11132,7382,14481,9712,15004,14675,12882,66,0,0,0,2,0,0,4556,7366,4409,4941,3152,1640,10749,0,27015,21905,2389,14708,12642,5280,12001,3848,9230,8384,6747,6643,8134,13141,11105,9142,6864,8781,16035,3017,13648,8787,10893,8515,5890,5233,16458,4154,1734,6839,8629,6185,15787,8073,0,0,0,0,0,3017,2220,2941,2287,8179,5207,3184,4793,5790,3308,3449,208,7421,3406,7,0,106,0,0,0,0,41,423,2118,20681,6628,7323,4222,4474,7734,780,433,10187,19369,16892,12516,18343,20542,8632,8152,27564,66343,4427,7611,5890,5444,7564,8381
"d__Bacteria;  p__Campilobacterota",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,82,0,0,0,18,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Cyanobacteria",0,0,31,0,0,0,0,0,0,39,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,0,0,0,81,8,94,131,0,0,0,0,0,0,0,0,0,21,4,35,25,0,0,0,0,0,37,273,4216,203,24,61,139,0,0,0,0,0,21,0,0,0,42,6,45,147,162,59,9,26,5,14,30,10,3,21,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,6,2,0,0,0,8,0,0,0,3,19,0,18,0,0,39,96,45,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,43,12,2,0,74,49,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,10,0,0,0,128,575,120,109,256,467
"d__Bacteria;  p__Desulfobacterota",202,33,525,7,443,14,0,0,0,0,0,0,0,0,0,0,0,141,327,221,174,177,89,326,229,77,150,34,59,449,542,621,262,60,122,119,227,270,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,208,112,97,44,55,0,0,0,3,174,158,147,150,413,39,59,8,34,74,61,8,29,3,39,46,33,29,14,52,64,4,25,85,100,35,7,83,9,33,120,159,80,46,326,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,116,44,53,109,18,79,0,150,424,67,122,104,15,95,19,167,24,40,24,163,6,101,204,81,72,129,40,216,277,224,320,190,69,192,30,32,104,108,91,160,64,0,0,0,0,0,27,31,30,27,114,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,27,29,4,5,67,298,165,234,168,25,74,26,817,2947,86,213,159,38,37,28
"d__Bacteria;  p__Firmicutes",40064,24884,63480,54436,70805,10292,19344,57806,79126,77081,58011,66985,56675,61521,89628,74962,103050,73466,127132,48451,56794,58508,43329,47998,118770,61861,85083,59389,23430,54497,85267,31764,21862,32406,52827,51807,61317,72724,10437,21200,39126,32410,93192,40487,49699,50001,47673,75431,66359,98718,39857,40522,54341,63878,46831,48451,79245,8612,198578,58110,53156,40107,53874,60124,54428,20237,85944,39409,36099,19881,16435,26618,29141,24263,8197,18262,26003,36204,13336,46945,7005,26024,32263,21099,19078,12044,31240,15846,22819,12737,24357,22542,21712,14663,38336,22212,19755,47244,40397,26458,11801,46741,9531,25124,30291,34895,8098,27123,19302,28200,17194,26145,13505,16765,16001,7380,27094,23756,16283,24446,20389,35924,39786,14615,19504,18316,26426,22868,16838,32584,9394,57291,92461,50059,48904,44933,11765,51967,14588,33231,18337,25599,16514,22407,14242,23219,21086,14770,19816,26861,5654,20836,26073,17405,20000,9533,16715,33743,39704,12750,21234,20762,13836,25523,19349,23782,14224,25015,18348,37467,19223,26095,30025,16170,49705,30457,31803,26606,19603,18793,19641,7130,18968,19711,30515,30342,36408,36635,19214,10793,28752,22890,44579,30679,74414,10864,42880,19634,22706,23098,27561,7423,76039,48680,82487,38739,68544,42515,36574,38641,76398,210665,13222,18693,19343,18496,32253,24447
"d__Bacteria;  p__Fusobacteriota",0,0,0,0,0,0,0,2,24,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,949,178,3,8,27,9,0,5,0,0,0,5,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,110,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,2,0,1163,1365,676,743,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Patescibacteria",0,0,0,0,0,0,0,3,9,22,5,0,0,0,0,0,0,0,6,6,5,0,0,11,8,10,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,4,2,0,4,3,8,5,4,24,0,0,0,0,0,0,0,0,0,17,3,6,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,7,6,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;  p__Proteobacteria",16358,647,394,8950,30205,11330,3,206,385,234,238,533,669,715,1012,725,16,22,12,0,0,37,0,2893,606,462,926,313,102,1099,1286,997,313,610,2049,621,1879,2144,130,11890,3829,3197,6074,1978,8477,4838,932,675,960,1446,595,218,375,14,305,5459,2952,161,3771,1257,1242,743,675,329,277,182,26208,517,521,956,708,197,766,268,132,961,1484,323,877,1856,63,475,494,174,43,340,661,106,97,914,986,447,389,184,505,285,342,307,328,331,136,1234,262,770,464,1847,265,729,980,838,651,1055,41,4355,4234,7221,2075,965,2204,3868,1315,1666,4149,328,990,425,403,1217,188,395,3689,1070,730,166,497,320,387,247,50,387,664,480,296,382,564,131,1195,1005,838,762,152,5121,1111,681,581,212,526,3076,46,56,227,103,356,1091,389,6327,2795,4116,4985,10374,166,221,121,78,773,206,105,6134,2800,2971,2084,428,1526,15852,764,744,6834,890,1505,55,580,0,25,9,9,206,29,3657,155,516,1604,9,37,81,459,141,2453,10,45,0,8902,20630,519,422,371,153,380,186
"d__Bacteria;  p__Synergistota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,33,0,0,0,54,25,60,20,314,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
