"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"1","DayGroupEarly928",0.305696763754998,0.0606613430444846,176,5.03939986180033,1.15189040422581e-06,"4.1.1.83","Early",0.0013880279370921,0.601548275315279,0.639139680881335
"2","DayGroupEarly678",0.592365067438098,0.126289581502179,178,4.69052997398582,5.410026388348e-06,"3.2.1.17","Early",0.00218129230662433,1.0678450824436,1.13263343004045
"3","DayGroupEarly1155",0.432358978759279,0.0921941602189895,178,4.68965689076502,5.43060325300663e-06,"6.3.2.17","Early",0.00218129230662433,1.18295351703328,1.21453322916791
"4","DayGroupEarly1151",0.364673566809156,0.0808326825689892,178,4.51146188916734,1.16620241099178e-05,"6.3.2.1","Early",0.00351318476311274,1.54551440672122,1.54693178572279
"5","DayGroupEarly414",0.347830752385469,0.0815978005124948,178,4.26274666965082,3.27002459642429e-05,"2.5.1.49","Early",0.00704285235476593,1.00703610389786,1.00145469560327
"6","DayGroupEarly753",0.175467034213461,0.0417053810482255,178,4.20729962904696,4.09128352559017e-05,"3.4.13.9","Early",0.00704285235476593,0.506695006899907,0.529405826490389
"7","DayGroupEarly803",0.452725071495595,0.106873446648916,174,4.23608562922851,3.68017355392709e-05,"3.5.1.24","Early",0.00704285235476593,1.82139655622377,1.88645244878753
"8","DayGroupEarly401",0.258067462829731,0.0652089067716752,178,3.95754929205204,0.000109277113655443,"2.5.1.10","Early",0.00833353283057566,1.00068281896559,1.02255161317982
"9","DayGroupEarly463",0.425585830678779,0.105406275860233,178,4.03757581989803,8.01503940623368e-05,"2.7.1.2","Early",0.00833353283057566,1.93322849824328,1.95539652470041
"10","DayGroupEarly529",0.831956781098378,0.206440881487616,178,4.03000013903877,8.25533874499517e-05,"2.7.6.5","Early",0.00833353283057566,3.40199561162701,3.41503178202014
"11","DayGroupEarly571",0.397584101958184,0.100277557024331,176,3.964836337823,0.000106678580669672,"2.7.8.12","Early",0.00833353283057566,0.707800859932376,0.743323926766271
"12","DayGroupEarly572",0.445417843442026,0.112115706693332,178,3.97284070697044,0.000103028966744827,"2.7.8.13","Early",0.00833353283057566,2.68547833236193,2.73053886708624
"13","DayGroupEarly645",0.466052825205044,0.117859912832249,178,3.95429467072814,0.000110652718082332,"3.1.3.3","Early",0.00833353283057566,1.48506354820486,1.46542565028629
"14","DayGroupEarly911",0.52122584439211,0.128236378516929,178,4.06457083723165,7.21183959040393e-05,"4.1.1.20","Early",0.00833353283057566,2.40297473562482,2.48400782448065
"15","DayGroupEarly932",0.21320918265054,0.0533236804029523,178,3.99839585413793,9.33392297153042e-05,"4.1.2.17","Early",0.00833353283057566,0.722941429105266,0.724329554782505
"16","DayGroupEarly1083",0.255903579316506,0.0630750895860618,178,4.05712589543519,7.42533611405383e-05,"5.3.3.2","Early",0.00833353283057566,0.899145281327882,0.891974662890938
"17","DayGroupEarly972",0.216609608128342,0.055065368749033,178,3.93368124193568,0.000119755314847272,"4.2.1.24","Early",0.00848853849358602,0.626469988153023,0.639844274742451
"18","DayGroupEarly8",0.563871886830406,0.145702679731411,178,3.87001726989407,0.000152577152868935,"1.1.1.14","Early",0.00903484695535763,2.305163983418,2.36288874595395
