"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"1","DayGroupEarly3065",0.273176826068832,0.0532225312898761,179,5.13272892980186,7.3930348879895e-07,"K11050","Early",0.00124546123689148,0.289608007827963,0.319107069691478
"2","DayGroupEarly2840",0.564134409021469,0.111031324124768,179,5.08085815843773,9.39290944882898e-07,"K09747","Early",0.00124546123689148,1.72152513125322,1.67484006250688
"3","DayGroupEarly3615",0.192553190287032,0.0379132927565114,179,5.07877781873647,9.48320738749858e-07,"K18349","Early",0.00124546123689148,0.353185145357281,0.368745314998908
"4","DayGroupEarly953",0.117088373097625,0.025366177980786,169,4.61592492122052,7.71136456403867e-06,"K02173","Early",0.00759569409557809,0.100010959972677,0.109776284804432
"5","DayGroupEarly940",0.475519266256993,0.104526948823778,179,4.54925042400951,9.9029745514185e-06,"K02118","Early",0.00780354394651778,1.65233619550584,1.66662543499453
"6","DayGroupEarly3397",0.218289217781873,0.0489886038650057,179,4.45591832711536,1.46916357626184e-05,"K14761","Early",0.00835037525602813,0.40760251175376,0.421592959961194
"7","DayGroupEarly578",0.3072886132918,0.0690866678913065,179,4.44787138634699,1.51956854128182e-05,"K01515","Early",0.00835037525602813,0.748384335876711,0.746530635691897
"8","DayGroupEarly2068",0.0897725128079164,0.0201608791120859,143,4.45280745491402,1.6955076661986e-05,"K05967","Early",0.00835037525602813,0.0692063517819131,0.073579622610349
"9","DayGroupEarly36",0.142916413394824,0.032657104420434,179,4.37627327747403,2.04752558140582e-05,"K00068","Early",0.00835980076917163,0.129902882583189,0.137041402348176
"10","DayGroupEarly2299",0.183783067061834,0.0420543746770318,171,4.37012958754581,2.14900650640952e-05,"K06987","Early",0.00835980076917163,0.336374142590186,0.350336205438099
"11","DayGroupEarly1186",0.38648592349629,0.0889584143457849,179,4.34456848560726,2.33395452946416e-05,"K02647","Early",0.00835980076917163,0.829962451453578,0.828199201754265
"12","DayGroupEarly486",0.0983438671414333,0.0231437549104907,147,4.24926151878905,3.79110531820709e-05,"K01227","Early",0.0124474624614466,0.0796674143916033,0.0839017119630066
"13","DayGroupEarly571",0.235120383228488,0.0563927943807894,179,4.16933379184671,4.75266493933628e-05,"K01493","Early",0.0144042306622961,0.455166983866383,0.429511258168202
"14","DayGroupEarly3576",0.122578362722086,0.0295995248009218,172,4.14122738613251,5.40468550673087e-05,"K17723","Early",0.0152103292117997,0.125903306045922,0.13996500911179
"15","DayGroupEarly2883",0.231880487646921,0.0572264595023537,179,4.05198031930288,7.56042673683665e-05,"K09812","Early",0.0193127299066803,0.526879889423301,0.554016871543818
"16","DayGroupEarly1308",0.478460913342457,0.118354561797026,179,4.04260643677596,7.84273295702755e-05,"K02948","Early",0.0193127299066803,3.9524240173997,4.01841173312282
"17","DayGroupEarly1443",0.0658550461403021,0.0164297774605771,168,4.00827377597291,9.17896285981002e-05,"K03338","Early",0.0212735962750891,0.0424107805980963,0.0445835011461298
"18","DayGroupLate20",-0.145606641781563,0.0366322318726817,179,-3.97482310899402,0.000102042967212788,"K00040","Late",0.173294339436562,0.487061062156424,0.477388112699978
"19","DayGroupEarly1729",0.155275134643646,0.0390684775265441,179,3.97443526019533,0.000102195804433961,"K03767","Early",0.022369526081656,0.238964198485151,0.282165621249417
"20","DayGroupEarly2156",0.267231545030673,0.067568269550451,179,3.95498577673563,0.000110145772973877,"K06207","Early",0.022470302971177,0.784595235719981,0.796415421819931
"21","DayGroupEarly1245",0.102442933858024,0.0257534377784678,132,3.97783529869846,0.00011406245163034,"K02812","Early",0.022470302971177,0.0699664614490814,0.0727778838171414
"22","DayGroupEarly690",0.197191502079498,0.0502571466459791,175,3.92365096786238,0.000125157778063197,"K01715","Early",0.0234819831223332,0.292269978565245,0.293636091411211
"23","DayGroupLate3456",-0.0828781467254569,0.0211968080051635,179,-3.90993524615915,0.00013087988202996,"K15771","Late",0.173294339436562,0.16319348019743,0.154269957759911
"24","DayGroupEarly1246",0.102913928445672,0.0261440344528581,136,3.93642108417668,0.000131435013169409,"K02813","Early",0.0235388159948851,0.0675343569117744,0.0709951387212581
"25","DayGroupLate3394",-0.0426274224656846,0.0109055613618477,177,-3.90877837933344,0.000131950004647128,"K14731","Late",0.173294339436562,0.0927172555678371,0.0855279442652789
"26","DayGroupEarly3037",0.0825448232002161,0.0213264388692763,176,3.87053946072231,0.000152831980004813,"K10709","Early",0.026180782661694,0.103994978045633,0.110949497288349
"27","DayGroupEarly2322",0.0902417443362444,0.0233793750488481,161,3.85988693657106,0.000163908603141709,"K07029","Early",0.0261969045437614,0.0867039265786473,0.0913471091490338
"28","DayGroupEarly2271",0.125824580416743,0.0326891698493962,157,3.84912131438135,0.000172142755273751,"K06934","Early",0.0261969045437614,0.109970825191115,0.115317841233049
"29","DayGroupEarly2530",0.244346688742985,0.0639664547210629,179,3.81991920309642,0.000183919660165241,"K07533","Early",0.0261969045437614,0.282882563984834,0.27539759459998
"30","DayGroupEarly3740",0.0624472552239041,0.0163365612449961,160,3.82254590102502,0.00018880240269872,"K19508","Early",0.0261969045437614,0.0937302846533255,0.0945623493582739
"31","DayGroupEarly1144",0.0255922726969014,0.00669643532079293,154,3.82177553741698,0.000191843442056734,"K02531","Early",0.0261969045437614,0.00565705328283952,0.00647703860718272
"32","DayGroupEarly2285",0.378719246405507,0.099472109789451,179,3.80729077936648,0.000192819855778955,"K06960","Early",0.0261969045437614,1.52502226586613,1.4714847804896
"33","DayGroupLate452",-0.165490269115426,0.0435550309724742,179,-3.79956724677827,0.000198462746222854,"K01163","Late",0.195485805029511,0.654729533727052,0.675008763097157
"34","DayGroupEarly1730",0.280088603988215,0.0738893916217155,179,3.79064704473624,0.000205174591277173,"K03768","Early",0.0269462629877354,0.967600774464854,0.952504316603993
"35","DayGroupEarly1953",0.0412615355085565,0.0107651620774442,107,3.83287638511362,0.000214149173380627,"K05352","Early",0.0272176691328925,0.00863083494681047,0.00980894047456753
"36","DayGroupEarly1392",0.238662453760353,0.0633527749717403,179,3.767198104058,0.000223858622822465,"K03216","Early",0.0275625929350161,0.395691804741698,0.429494808191765
"37","DayGroupEarly2929",0.0275665239066878,0.00730913174294481,154,3.77151827004576,0.000230873350109174,"K09925","Early",0.0275648787706104,0.018494811932581,0.017423373295124
"38","DayGroupEarly1201",0.118426151003439,0.0315889854622525,164,3.74896975228766,0.000245778086225052,"K02744","Early",0.0284813429331384,0.198253499833619,0.215610962018509
"39","DayGroupEarly1317",0.625800033086052,0.167600724413918,179,3.73387427336253,0.000253198842347347,"K02965","Early",0.0285029553956728,4.12998220806772,4.14560607819032
"40","DayGroupEarly2992",0.239472347563901,0.0648655152012443,179,3.69182834393502,0.000295421322292138,"K10112","Early",0.0314099743039615,0.672132647917386,0.699070876620407
