"","GeneFamily","RPK","Sample_ID","RPKG"
"1","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",32.9050946216,"GO_Pt1_Baseline",0.0286149619790279
"2","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",22.8089229182,"GO_Pt1_Baseline",0.0198351188347118
"3","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",22.7925122039,"GO_Pt1_Baseline",0.0198208477325878
"4","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",1.8281535649,"GO_Pt1_Baseline",0.00158980076954704
"5","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",6.5789473684,"GO_Pt1_C1D1",0.00465869527744745
"6","UniRef90_P76440|g__Klebsiella.s__Klebsiella_pneumoniae",2.7422303473,"GO_Pt1_C1D1",0.00194183276643943
"7","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",1.8281535649,"GO_Pt1_C1D1",0.00129455517764989
"8","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",0.9140767824,"GO_Pt1_C1D1",0.00064727758878954
"9","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",31.8964854521,"GO_Pt1_C1D3",0.0361954285941626
"10","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",100.8758309386,"GO_Pt1_C1D7",0.0464203738320554
"11","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",96.4195767839,"GO_Pt1_C1D7",0.0443697242182967
"12","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",16.5289256198,"GO_Pt1_C1D7",0.00760617185676887
"13","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",168.9483572758,"GO_Pt1_C1D7",0.0777455395418539
"14","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",571.1976301214,"GO_Pt1_C2D1",0.437133838472016
"15","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",492.8318299978,"GO_Pt1_C2D1",0.377161000339478
"16","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",101.9853119982,"GO_Pt1_C2D1",0.078048697246983
"17","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",257.9923868099,"GO_Pt1_C2D1",0.19743989889944
