"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08649,0.00539,0.01419,0.01343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__CFGB343|o__OFGB343|f__FGB343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1501,2.987,0.95929,1.66736,1.31716,0.20798,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06853,0.86721,1.39598,0,0.66079,2.60377,0,0,0.00295,0.00724,0,0.05271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77761,1.30891,0.92805,0.91269,0.97844,0.77087,0.21901,0.33914,0.11854,0.44892,0.31732,0.28152,0.57702,0,0,0,0,0.00097,0.03538,0.47589,0.85179,0.63732,1.12791,0.3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633,0,0,0,0,0.06177,0.62776,0.43495,0.68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10953,0.97644,0.92941,0.53626,0.16856,0.07431,0.13456,0.12022,0.01409,0.00146,0,0,0,0,0,0,0,0.67223,0.60164,1.12683,0.84388,0.55128,0.64887,0.76848,0,0,0.00153,0.0173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48065,0.63035,1.14372,1.00306,0.09577,0.3866
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae",0.01043,0.00757,0.01921,0.02929,0.01275,0.01581,0.01996,0.05284,0.06249,0.12519,0.14705,0.04715,0.01596,0.03893,0.045,0.01471,0.03287,0.02386,0.01152,0.00414,0.01288,0.01434,0.01707,0.00545,0.00322,0.00604,0,0.00078,0.00979,0.00344,0.00322,0,0,0.15761,0.2711,3.19825,0.03044,0.1126,0.13345,0.07774,0.1141,0.26307,0.0892,0.04828,0.28141,0.13819,0.07107,0.02819,0.01106,0.25493,0,0.60655,0.28257,0.35412,0.12718,0.04251,0.15966,0.22952,0.34529,0.4173,0.10674,0,0.00172,0.00523,0.11778,0,0,0,0,0.00543,0.00079,0.04313,0.02947,0.02347,0.66876,0.02446,0.05296,0.11598,0.11206,0.0397,0.07586,0.06512,0.03422,0.01784,0,0.00281,0.00914,0,0,0.00057,0.0143,0.01301,0.02596,0.32352,0.98101,0.01406,0.00444,0.0055,0.01251,0.22063,0.05021,0.11313,0.05239,0.01901,0.05269,0.03,0.01087,0.05636,0.13292,0.27261,0.04786,0.0852,0.20206,0.17334,0.31653,0.22227,0.02248,0.11931,0.12321,0.18126,0.01367,0.01379,0.00542,0.03221,0.07145,0.27436,0.21717,0.01497,0.01173,0.02627,0.02075,0.01551,0.01466,0.03255,0.24232,0.02012,0.01289,0.00175,0.18003,0.05796,0.19273,0,0.00496,0.00048,0.13198,0.00259,0.00777,0.01196,0.05538,0.0609,0.00725,0.02748,0.04484,0.00659,0.00865,0.03134,0.02986,0.01669,0.02585,0.00239,0,0,0.00205,0.02728,0.06514,0.03438,0.1284,0.06552,0.03264,0.24417,0.13399,0.09369,0.09711,0.03941,0.04278,0.13464,0.01198,0.02735,0.02171,0.02982,0.05422,0.02645,0.05163,0.03963,0.03571,0.0907,0.07313,0.01921,0.03348,0.01373,0.01624,0.03678,0.01798,0.02992,0.01016,0.07919,0.15161,0.02255,0.05466,0.00371,0.00733,0,0.02177,0.01768,0.03833,0.0088,0.04138,0.03189,0.12129,0.03536,0.04845,0.05583,0.00631,0.00029,0.01884,0.04322,0.01597,0.02518,0.04475,0.00015,0,0.00055,0.00119,0,0.00984
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae",0,0.00555,0,0.01249,0,0.00228,0,0,0,0,0,15.70661,6.00736,6.0402,4.79541,7.57318,16.13236,0.72415,0.28566,0.13855,0.98497,0.8603,4.28186,6.70383,2.56587,2.20634,2.75547,1.71137,7.26553,0.79037,0.88085,0,0.2793,4.06932,28.19192,21.59224,0,0,0.0063,0.00064,0,1.34546,2.39317,2.07054,1.13398,2.73085,4.85882,15.84219,0.70084,0.87327,0,0.32498,0.00904,0.09636,0.04481,3.77176,2.13983,15.81432,3.9446,1.53251,1.5187,5.85128,2.91441,3.09875,0,3.97242,8.72261,4.12715,3.70023,1.18588,7.19482,9.39311,10.74479,4.90035,1.13338,15.88977,0.17513,0.17951,0.31286,0.25462,0.12632,1.16235,0.00926,0.00403,0.12037,0.12738,0.06673,0.17236,0.37713,0.02214,1.41935,1.58229,0.47877,0.93689,0.87065,11.53485,10.60775,11.00259,9.15821,5.73151,2.28363,2.38511,6.34961,1.34437,0.86392,0.04098,0,0.38618,0.00776,0,0.28222,2.5042,9.53347,0.30428,7.95871,4.35251,0.79791,0.63802,0.32791,0.00255,0.01583,0,0,0,0,0,0,2.17836,7.18305,1.91336,5.66368,5.82113,7.21422,5.08725,3.53608,0.12846,2.66675,3.93988,0.1261,1.09202,0.07578,0,0,0.00041,0.42074,4.80583,0.48916,0.13301,0.62583,9.13347,1.48532,1.0597,0.0011,0,0,0,0,0.01202,0.01513,1.46627,4.01858,5.49011,7.11126,7.10648,3.68182,2.4072,1.14079,1.43972,0.64733,1.23397,0.9332,0.01177,0.09305,0.27907,0.00608,0.03301,0.00112,0,0,0,0,0.06025,0,2.97829,2.9442,2.4658,1.61247,2.87183,1.11203,4.94171,12.65976,14.55723,12.02159,9.54757,6.24636,17.92428,1.94,0.07089,0.11548,0.19419,0.02222,0,5.96869,2.65366,1.48333,2.67301,8.78194,1.54559,3.17558,3.66533,1.38493,2.73652,4.24613,4.36209,14.50945,33.82179,10.0694,1.74249,42.00331,6.14019,1.42968,2.59173,3.42118,3.80342,0.99646
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04963,0.0028,0.07049,0,0,0,0,0,0.00379,0,0,0.00081,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0.00108,0.01592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586,0,0,0.00035,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0.00542,0,0.00057,3e-04,0,0.003,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063,0,0.00509,0,0,0,0,0.00091,0,0,0,0,0.00111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081,0,0,0,0,0,0,0,0,0.00371,0,0,0,0,0,0,0,0,0.00081,0.00084,0,0,0,0.00082,0.01117,0,0,0,0,0,0,0,0,0.00217,0,0,0,0,0,0,0.00035,0,0,0,0,0,0,0,0.01793,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Kytococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146,0,0,0,0,0,0.00529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01919,0.02231,0.00648,0.01448,0.04422,0.05465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0.00125,0.00101,0.00732,0.00673,0.01235,0,0,0,0,0.00404,0,0.00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0.00034,0,0,0,0,0,0,0.01283,0.01031,0.00102,0.00469,0.00279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013,0,0.00088,0.00029,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae",0,0,0,0.02514,0,0,0.00038,0,0,0.00669,0.00092,0,0,0,0,0,0.01775,0.00156,0.00096,0,2e-04,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0.01654,0.74244,0,0.00705,0.00173,0,0.00808,0.11542,0.01229,0,0.00729,0.00011,0.0056,0,0.01818,0.01717,0,0.03838,0.01769,0.00044,0.01072,0.00972,0.00308,0.00571,0.04145,0.12374,0.02581,0,0,0,0.00054,0,0,0,0,0,0,0,0,0,0.13762,0,0.00092,0,0.00044,0,0,0,0.01176,0.0018,0,0,0,0,0,0,0.01623,0.01368,0.00389,0.01735,0.00072,0,7e-05,0,0,0.00276,0,0,0.00119,0,0,0,0,0,0,0.00554,0,0,0,0,0,0,0,0,0,0,0.015,0.02262,0,0.03455,0.01443,0.01201,0.10989,0,0,0,0,0,0,0,0.05635,0.00744,0,0,0.01787,0.00179,0.00391,0,0,0,0.04846,0,0.00321,0,0,0.00046,0,6e-04,0,0,0,0.00566,0,0,0,0.00728,0,0.01629,0.00779,0.03423,0,0,0,0.00122,0,0,0,0.03049,0.01303,0.00705,0.03193,0.0333,0.00046,0.00114,0.00184,0,0.00077,0.00028,0,0.00242,0.00185,0,0.0026,0.00246,0.00269,0.00441,0,0,0,0,0,0.00085,0,0,0.02771,0,0,0,0,0,0,0.00221,0.00604,0.00505,0.11553,0,0,0,0,0,0,0,0,0,0.01215,0.00129,0,0,0,0,0.00811
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae",0,0,0,0,0,0,0,0.00609,0.00671,0.00286,0.00546,0,0,0,0,0,0,0.00202,0.00652,0.00087,0.00119,0.00181,0.005,0.00181,0.00607,0.00332,0.00284,0.00024,0,0,0.00132,0,0.00084,0,0.09739,1.08568,0,0,0,0,0,0,0.01293,0,0.01723,0,0.00413,0.00188,0,0.02911,0,0.0316,0.00755,0.00969,0.00375,0,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0.00568,0,0.0013,0.01529,0.01103,0.00037,0.00623,0.00352,0,0,0,0.00022,0,0,0,0.00092,0.0146,0.01499,0.01785,0.02262,0.06556,0.00201,0,0,0.00167,0,0,0,0,0,0,0,0.00046,0.00091,0,0,0.00126,0.00572,0.01232,0.01475,0.01937,0.00504,0.00587,0.00093,0.01003,0.00313,0.00062,0,0,0.00054,0.00166,0.00182,0.00725,0.00512,0.00426,0.00154,0,0.01882,0.00011,0.00088,0.01612,0,0.00171,0.00072,0,0.03559,0,0,0,0.00554,0.00909,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0.00067,0,0.00148,0.00486,0,0.02075,0.01262,0.00911,0.01141,0.00129,8e-05,0,0.00058,0,0,0.00067,0.00093,0,0,0,0,0,0,0,0.01636,0.03599,0.02923,0,0.00039,0.00067,0.03668,0,0,0,0,0,0,0,0,0,0.00112,0,0,0,0,0,0,0,0.00727,0.01194,0.00824,0,0.00182,0.00038,0,0.00166,0.00033,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae",0,0,0,0,0,0.00152,0,0,0.00152,0.00243,0,0,0,0,0.02582,0.00486,0,0,0,0,0,0,0.00317,0,0,0.00223,0,0,0,0,0,0,0,0,0.00423,0.1259,0,0,0,0,0.01994,1.63592,0,0,0.0033,0,0,0,0,0.00119,0,0,0,0,0,0,0,0.00578,0,0.00234,0,0,0,0,0,0,0,0.00266,0.00022,0,0,0,0,0,0.00969,0,0.02059,0.00604,0,0.00197,0.00108,0,0.00549,0.00353,0,0.00686,0.00958,0,0.00342,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01078,0.02203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908,0,0.0211,7e-04,0.00238,0,0.03546,0,0,0,0,0.00266,0.00272,0,0,0,0.00045,0,0,0,0.08868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634,0.00136,0,0,0,0,0,0,0,0.00121,0,0,0,0,0,0,0.00074,0.00291,0.03035,0,0,0.0152,0.00258,0.00935,7e-05,0,0.00046,0.00634,0.00304,0.00387,0,0.01175,0.01704,0.00113,0.00592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
