"","GO_Pt1_Baseline","GO_Pt1_C1D1","GO_Pt1_C1D3","GO_Pt1_C1D7","GO_Pt1_C2D1","GO_Pt1_C3D1","GO_Pt1_Final","GO_Pt11_Baseline","GO_Pt11_C1D3","GO_Pt11_C1D7","GO_Pt11_C2D1","GO_Pt12_Baseline","GO_Pt12_C1D1","GO_Pt12_C1D3","GO_Pt12_C1D7","GO_Pt12_C2D1","GO_Pt12_C3D1","GO_Pt13_Baseline","GO_Pt13_C1D1","GO_Pt13_C1D3","GO_Pt13_C1D7","GO_Pt13_C2D1","GO_Pt13_C3D1","GO_Pt14_Baseline","GO_Pt14_C1D1","GO_Pt14_C1D3","GO_Pt14_C2D1","GO_Pt14_C3D1","GO_Pt14_Final","GO_Pt15_Baseline","GO_Pt15_C1D1","GO_Pt15_C1D3","GO_Pt15_C1D7","GO_Pt15_C2D1","GO_Pt16_Baseline","GO_Pt16_C1D1","GO_Pt17_Baseline","GO_Pt17_C1D1","GO_Pt17_C1D7","GO_Pt17_C2D1","GO_Pt17_C3D1","GO_Pt17_Final","GO_Pt18_Baseline","GO_Pt18_C1D1","GO_Pt18_C1D3","GO_Pt18_C1D7","GO_Pt18_C2D1","GO_Pt18_C3D1","GO_Pt18_Final","GO_Pt19_Baseline","GO_Pt19_C1D1","GO_Pt19_C1D3","GO_Pt19_C1D7","GO_Pt19_C2D1","GO_Pt19_C3D1","GO_Pt2_Baseline","GO_Pt2_C1D1","GO_Pt2_C1D3","GO_Pt2_C1D7","GO_Pt2_C2D1","GO_Pt2_C3D1","GO_Pt20_Baseline","GO_Pt20_C1D1","GO_Pt20_C1D3","GO_Pt20_C1D7","GO_Pt20_C2D1","GO_Pt20_C3D1","GO_Pt21_Baseline","GO_Pt21_C1D1","GO_Pt21_C1D3","GO_Pt21_C1D7","GO_Pt22_Baseline","GO_Pt22_C1D1","GO_Pt22_C1D3","GO_Pt22_C1D7","GO_Pt22_C2D1","GO_Pt23_Baseline","GO_Pt23_C1D1","GO_Pt23_C1D3","GO_Pt23_C1D7","GO_Pt23_C2D1","GO_Pt23_C3D1","GO_Pt24_Baseline","GO_Pt24_C1D1","GO_Pt25_Baseline","GO_Pt25_C1D1","GO_Pt25_C1D3","GO_Pt25_C2D1","GO_Pt25_C3D1","GO_Pt25_Final","GO_Pt29_Baseline","GO_Pt29_C1D1","GO_Pt29_C1D3","GO_Pt29_C2D1","GO_Pt29_C3D1","GO_Pt30_Baseline","GO_Pt30_C1D1","GO_Pt30_C1D3","GO_Pt30_C3D1","GO_Pt31_Baseline","GO_Pt31_C1D1","GO_Pt31_C1D3","GO_Pt31_C1D7","GO_Pt31_C2D1","GO_Pt31_C3D1","GO_Pt31_Final","GO_Pt32_Baseline","GO_Pt32_C1D1","GO_Pt32_C1D3","GO_Pt32_C1D7","GO_Pt32_C2D1","GO_Pt33_Baseline","GO_Pt33_C1D1","GO_Pt33_C1D3","GO_Pt33_C1D7","GO_Pt33_C2D1","GO_Pt33_Final","GO_Pt34_Baseline","GO_Pt34_C1D1","GO_Pt34_C1D3","GO_Pt35_Baseline","GO_Pt35_C1D1","GO_Pt35_C1D3","GO_Pt35_C1D7","GO_Pt35_C2D1","GO_Pt35_C3D1","GO_Pt35_Final","GO_Pt38_Baseline","GO_Pt38_C1D1","GO_Pt38_C1D3","GO_Pt38_C1D7","GO_Pt38_C2D1","GO_Pt38_C3D1","GO_Pt38_Final","GO_Pt39_Baseline","GO_Pt4_Baseline","GO_Pt4_C1D1","GO_Pt4_C1D3","GO_Pt4_C1D7","GO_Pt4_C2D1","GO_Pt4_C3D1","GO_Pt40_Baseline","GO_Pt40_C1D3","GO_Pt40_C1D7","GO_Pt40_C2D1","GO_Pt42_Baseline","GO_Pt42_C1D1","GO_Pt42_C1D3","GO_Pt42_C1D7","GO_Pt42_C2D1","GO_Pt42_C3D1","GO_Pt42_Final","GO_Pt43_Baseline","GO_Pt43_C1D1","GO_Pt43_C1D3","GO_Pt43_C1D7","GO_Pt43_C2D1","GO_Pt43_C3D1","GO_Pt43_Final","GO_Pt44_Baseline","GO_Pt44_C1D1","GO_Pt44_C1D3","GO_Pt44_C1D7","GO_Pt44_C2D1","GO_Pt45_Baseline","GO_Pt45_C1D1","GO_Pt45_C1D3","GO_Pt45_C1D7","GO_Pt45_C2D1","GO_Pt45_C3D1","GO_Pt45_Final","GO_Pt47_Baseline","GO_Pt47_C1D1","GO_Pt47_C1D3","GO_Pt47_C1D7","GO_Pt47_C2D1","GO_Pt50_Baseline","GO_Pt50_C1D1","GO_Pt50_C1D3","GO_Pt50_C1D7","GO_Pt50_C2D1","GO_Pt50_C3D1","GO_Pt50_Final","GO_Pt51_Baseline","GO_Pt51_C1D1","GO_Pt51_C1D3","GO_Pt51_C1D7","GO_Pt51_C2D1","GO_Pt51_C3D1","GO_Pt51_Final","GO_Pt52_Baseline","GO_Pt52_C1D1","GO_Pt52_C1D3","GO_Pt52_C1D7","GO_Pt52_C2D1","GO_Pt52_C3D1","GO_Pt52_Final","GO_Pt53_Baseline","GO_Pt53_C1D1","GO_Pt53_C1D3","GO_Pt53_C1D7","GO_Pt53_C2D1","GO_Pt54_Baseline","GO_Pt54_C1D1","GO_Pt54_C1D3","GO_Pt54_C1D7","GO_Pt54_C2D1","GO_Pt54_C3D1","GO_Pt54_Final","GO_Pt6_C1D1","GO_Pt6_C1D3","GO_Pt6_C1D7","GO_Pt6_C2D1","GO_Pt6_C3D1","GO_Pt7_Baseline","GO_Pt7_C1D1","GO_Pt7_C1D3","GO_Pt7_C1D7","GO_Pt7_C2D1","GO_Pt9b_Baseline","GO_Pt9b_C1D1","GO_Pt9b_C1D3","GO_Pt9b_C2D1","GO_Pt9b_C3D1","GO_Pt9c_C1D3"
"k__Archaea|p__Candidatus_Thermoplasmatota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08649,0.00539,0.01419,0.01343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06853,0.86721,1.39598,0,0.66079,2.60377,0,0,0.00295,0.00724,0,0.05271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77761,1.30891,0.92805,0.91269,0.97844,0.77087,0.21901,0.33914,0.11854,0.44892,0.31732,0.28152,0.57702,0,0,0,0,1.15107,3.02238,1.43518,2.51915,1.95448,1.33588,0.30333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633,0,0,0,0,0.06177,0.62776,0.43495,0.68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10953,0.97644,0.92941,0.53626,0.16856,0.07431,0.13456,0.12022,0.01409,0.00146,0,0,0,0,0,0,0,0.67223,0.60164,1.12683,0.84388,0.55128,0.64887,0.76848,0,0,0.00153,0.0173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48065,0.63035,1.14372,1.00306,0.09577,0.3866
"k__Bacteria|p__Actinobacteria",5.81806,5.36707,2.73141,2.44816,5.62158,4.64119,3.56153,0.85171,0.70652,0.75621,0.57338,20.50014,10.38584,9.67648,8.82484,9.54759,25.64516,2.25923,1.50327,1.02171,2.85384,2.64263,6.32971,7.91703,3.32441,2.83124,3.83039,2.32391,8.71198,2.48134,2.17369,0,1.46093,6.51097,28.60056,27.02691,2.04611,2.40235,1.45738,1.79436,1.25031,3.44426,2.50925,2.11894,1.44596,2.86915,4.93961,15.87226,1.42896,5.55855,2.15008,7.51255,6.52856,6.04994,5.89238,4.00012,2.54218,16.25548,4.52449,2.56866,1.87308,7.10139,4.93586,5.50917,0.77149,5.82646,9.95784,5.13295,4.40141,2.90099,8.92988,10.59125,12.10073,6.34095,3.09922,19.2765,1.81885,3.59697,2.2421,2.58935,1.37013,2.96829,4.91652,5.50225,1.34971,1.46006,2.12639,1.85334,2.11769,2.18823,3.67485,4.05676,1.9969,4.29693,4.02558,13.59986,12.20026,12.1891,11.36787,11.01806,5.78903,8.01487,11.65718,3.7439,3.18952,1.98293,0.30973,0.74798,1.09217,0.54246,0.99521,4.0779,12.37807,2.36761,11.82827,8.62015,1.49556,0.75826,0.46115,0.19608,2.48146,1.92936,0.97005,1.01863,2.06678,2.51361,2.63638,4.32371,10.33992,4.33063,6.71035,10.18505,11.04007,8.75894,3.89443,2.12842,4.53349,12.67953,1.62612,2.90675,2.14361,1.80563,2.04019,0.93244,2.57081,7.48682,1.76804,1.89236,2.10584,11.98459,3.62705,2.18848,1.75953,1.44005,1.4328,1.35655,1.4188,1.19127,2.07174,3.3104,7.69239,10.08813,10.04852,9.44411,8.48179,5.59731,7.15653,4.14617,2.74193,4.92555,7.73316,0.17061,1.90067,1.57726,0.70239,0.61282,0.40663,0.28665,0.40348,0.34396,0.40776,0.56356,0.7523,6.44292,8.11736,9.8725,6.97257,8.46663,5.40032,12.62886,13.49797,16.01017,13.05759,11.86137,8.85121,18.71287,4.9786,0.0949,0.24283,0.20973,0.02955,4.07577,6.3812,3.40665,2.96717,3.38322,9.72258,2.17831,4.36563,6.59721,3.28707,5.257,6.30383,6.37744,15.27652,34.62615,10.88364,1.90709,42.40727,7.5449,2.4775,3.94254,4.53808,5.10923,2.45831
"k__Bacteria|p__Bacteria_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0,0,0
"k__Bacteria|p__Bacteroidetes",15.06714,13.36684,24.77172,9.52545,7.91633,9.1907,7.40012,0,5.44107,0.91814,3.4894,12.91463,18.31401,17.59095,17.23053,14.47832,0.87017,7.64456,8.13754,7.16876,7.94639,7.44657,7.74856,22.46207,15.70423,15.2479,21.16845,10.92738,12.13529,22.99996,21.2309,96.96477,36.20786,21.61553,0,0,15.9418,8.50414,24.08305,13.45601,21.43424,2.55344,27.05331,26.86095,5.84352,10.3535,13.33179,12.82282,18.81306,21.69184,79.94008,12.72384,21.66663,21.52114,25.55596,34.27768,36.51245,0.07174,2.10541,0.25727,43.27714,18.60731,24.76581,18.1465,0.0199,33.5723,17.76522,12.14743,11.10427,1.22566,25.30357,19.91393,21.87201,33.24537,20.54578,13.26795,17.47798,16.10082,23.03589,20.16832,24.73044,15.0877,14.88563,6.04215,12.98078,14.18776,14.84444,16.35852,21.13338,8.19692,18.24066,9.64104,26.49679,9.89629,24.03118,17.0179,8.83586,9.90153,8.7852,29.28545,37.62051,12.12731,13.38782,21.95596,15.05338,18.13367,25.92539,27.58413,27.60489,24.82265,20.67967,19.17463,4.87899,35.66783,27.77119,33.39477,45.42193,52.29864,57.26804,63.19268,0.39678,0,0,0,0.00098,0,0,23.55406,21.32212,12.81421,12.97313,13.29184,7.91821,23.02712,0,33.27904,13.77381,7.29432,17.45162,31.45725,34.68661,34.21718,15.93486,32.11409,23.9498,20.14992,40.64866,18.67022,42.39844,21.34138,55.70119,35.59604,29.01752,30.02701,28.36268,37.76845,40.38913,28.04495,22.6234,27.71965,25.39432,33.06327,22.23401,32.67986,10.39775,14.95894,22.50016,32.04541,32.43177,39.22919,30.72998,0,0,0,0,0,11.83242,8.47669,6.80529,11.10975,10.6558,12.77958,7.0847,11.6551,17.85185,13.92176,12.42944,3.44996,27.30782,10.42776,0.0245,0,0.26995,0.00371,0,0,0,0.14923,1.79371,9.23966,19.08001,41.77792,12.59396,13.7248,11.63765,20.09344,0.82473,1.29901,3.40848,6.66053,22.10479,18.07962,25.82786,16.56754,30.47136,11.88905,13.83507,18.18913,10.27197,24.59426,27.36858,26.12061,28.33557,14.44265,20.17568
"k__Bacteria|p__Candidatus_Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341,0,0,0,0,0,0,0,0,0,0,0,0.07034,0,0,0,0,0,0,0,0.07385,0.00226,0.06235,0.06822,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44658,2.24566,0.35229,0,0.12569,0.40214,0,0,0,0.03492,0,0,0,0,0,0.06688,0.03733,0.65154,0.56175,0.44692,0.14,0.01158,0.00365,0.03351,0.03574,0.06559,0.04526,0.05331,0.33076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07498,0,0,0.00575,0,0,0,0,0,0,0,0.01682,0.2615,0.12153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1322,0.02826,0.00309,0,0.08,0.10881,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03377,0,0.00984,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14676,2.03388,0.63518,0.91703,0.43145,1.14032
"k__Bacteria|p__Candidatus_Saccharibacteria",0,0,0,0,0,0,0,0.00116,0.00952,0.01353,0.01249,0.00031,0,0,0,0,0,0.00164,0.00269,0.00366,0.0035,0.00147,0,0.00864,0.00567,0.00727,0.00152,0,0,0,0,0,0,0,0.01324,0.45649,0,0,0,0,0,0.00433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0.003,0.00948,0.00152,0.00904,0,0,0,0.05633,0,0,0,0,0,0,0.00562,0.0091,0.00451,0.04531,0.01004,0,0.00278,0.00562,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0,0.00467,0.00421,0,0.00458,0.00487,0.00084,0.00972,0.02026,0.05302,0,0,0,0,0,0,0.00328,0,0,0,0,0,0,0,0.03092,0,0,0,0.01197,8e-04,0.00558,0,0,0,0,0,0.00139,0.00331,0.00747,0.0024,0.00144,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0.00022,0.03669,0.00598,0.01113,0.01805,0.01626,0.02357,0.03178,0.00265,0.00519,0.02191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0.00208,0,0,0,0,0,0,0,0.00034,0,4e-05,0.00038,0.00574,0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0.00063,0,0
"k__Bacteria|p__Firmicutes",53.45371,58.86754,65.71344,68.02049,55.27984,42.46343,79.69235,92.74527,84.39078,86.83941,86.43366,65.95033,68.02247,71.95439,71.77934,72.5278,68.15352,79.87892,79.73497,82.04085,79.66553,78.18975,73.37666,50.68779,67.85228,69.52092,61.87924,74.7807,60.8841,60.97615,55.01856,3.03523,51.9689,53.50639,54.79875,53.28456,74.48406,84.69488,68.16021,77.51252,66.60245,30.81427,53.84069,45.48837,73.95249,63.82495,61.9223,53.211,55.79777,59.55757,15.33765,64.90035,61.68829,62.62339,58.78068,48.45059,46.65292,77.87893,79.84837,73.89968,43.21004,60.48527,59.23463,61.27364,73.62943,52.34368,59.84632,74.80487,76.343,87.83796,57.5021,59.69091,55.69508,53.35535,70.48661,56.99249,69.10411,60.36821,63.54828,58.18922,56.90499,70.56569,60.88638,68.79792,73.8089,70.12758,68.26644,70.67746,63.15742,71.38088,68.12161,74.34491,60.60646,73.50803,60.08478,54.37388,67.4524,69.51708,67.97288,52.02999,42.17573,66.34642,57.19031,57.81061,66.63548,61.94648,61.9123,60.1027,59.08415,62.53774,63.72308,70.78109,71.92452,58.13223,57.32806,55.82921,51.13655,38.73832,35.48714,15.53266,67.63317,78.5546,79.39751,80.97769,86.90555,88.00902,79.77104,65.59922,61.29811,77.9673,67.95374,63.94328,69.58992,59.61346,58.72254,55.65904,67.45509,66.88857,72.55033,60.11485,59.63251,52.54858,68.11186,57.36754,63.63628,63.13244,40.41826,69.21093,41.51739,56.30119,21.77755,52.10492,52.61472,54.89553,58.57927,52.07533,48.43916,39.97066,62.29675,43.78953,53.64967,44.08292,50.19842,41.44902,72.04569,68.59935,61.47225,52.3682,52.4519,44.87961,54.86395,81.95022,84.19989,83.61294,76.8392,75.45266,73.99044,77.88281,76.25751,73.34363,74.21425,72.19555,75.68448,65.45727,62.86196,60.54455,69.11955,77.86164,57.77064,42.52865,77.71322,76.60076,71.80727,75.05741,75.34243,72.88032,87.75342,77.9033,83.06545,73.92409,70.86789,42.81507,71.51101,63.01287,66.41774,62.99861,77.84929,85.4941,83.86193,78.82087,64.73048,66.55244,59.68592,68.33718,50.70258,43.08364,71.3264,68.88742,43.30358,52.36423,54.2744,53.93251,56.04379,67.00038,63.06824
"k__Bacteria|p__Fusobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223,0,0,0,0,0.00338,0.0069,0.06407,0,0,0,0,0,0,0.21034,0.02667,0,0.00034,0.00679,0.00502,0,0,0,0,0,0,0,0,0,0,0,0,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261,0,0,0,0,0,0,0,0,0,0,0.00059,0,0,0.00663,0,0,0,0,0,0.06889,0.00852,0.01011,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01198,0,0,0,0,0,0,0,0,0,0.00112,0,0,0,0,0,0.00827,0,0,0,0,0,0,0,0.18253,0.46669,0.10706,0.16964,0.09452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291,0.11703,0,0.12854,0.16852,0,0,0.00521,0,0,0.00576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548,0.01178,0.01209,0.01517,0,0,0,0.01026,0.01789,0.0213,0.00316,0.00635,0.06121,0.22103,0.02423,0,0.02541,0.06115,0,0,0,0,0,0,0.14001,0.46962,0.15442,0.15635,0.11315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03084,0.03762,0.03181,0.10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03554,0.08959,0.10945,0.10987,0.07584,0.01158,0.00426,0.0193,0.00478,0.01212,0.00623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04362,0.02991,0.0201,0.02353,0.01556,0.0052
